"participant","source_cluster","block","trial_in_block","current_ap","current_hp","intact","nam_unn","rs_rt_n","key_resp_14.keys","key_resp_14.corr"
319,3,3,2,"Nam2/inanimate08_ap.jpg","Nam2/inanimate08_hp.jpg","right","nam","RS","right",1
319,3,3,3,"cc/abstract07b_ap.jpg","cc/abstract07b_hp.jpg","right","unn","RT","left",0
319,3,3,4,"cc/abstract07_ap.jpg","cc/abstract07a_hp.jpg","left","unn","RS","left",1
319,3,3,5,"Nam2/inanimate08a_ap.jpg","Nam2/inanimate08a_hp.jpg","right","nam","RS","right",1
319,3,3,6,"cc/abstract07a_ap.jpg","cc/abstract07_hp.jpg","left","unn","RS","left",1
319,3,3,7,"Nam2/inanimate08e_ap.jpg","Nam2/inanimate08e_hp.jpg","right","nam","N","right",1
319,3,3,8,"cc/abstract07e_ap.jpg","cc/abstract07d_hp.jpg","left","unn","N","left",1
319,3,3,9,"cc/abstract07d_ap.jpg","cc/abstract07e_hp.jpg","left","unn","N","left",1
319,3,3,10,"cc/abstract07c_ap.jpg","cc/abstract07c_hp.jpg","right","unn","RT","right",1
319,3,3,11,"Nam2/inanimate08c_ap.jpg","Nam2/inanimate08b_hp.jpg","left","nam","RT","left",1
319,3,3,12,"Nam2/inanimate08d_ap.jpg","Nam2/inanimate08d_hp.jpg","right","nam","N","right",1
319,3,3,13,"Nam2/inanimate08b_ap.jpg","Nam2/inanimate08b_hp.jpg","right","nam","RT","right",1
319,3,3,14,"Nam2/inanimate08_ap.jpg","Nam2/inanimate08a_hp.jpg","left","nam","RS","left",1
319,3,3,15,"cc/abstract07b_ap.jpg","cc/abstract07c_hp.jpg","left","unn","RT","left",1
319,3,3,16,"cc/abstract07_ap.jpg","cc/abstract07_hp.jpg","right","unn","RS","right",1
319,3,3,17,"Nam2/inanimate08a_ap.jpg","Nam2/inanimate08_hp.jpg","left","nam","RS","left",1
319,3,3,18,"cc/abstract07a_ap.jpg","cc/abstract07a_hp.jpg","right","unn","RS","right",1
319,3,3,19,"Nam2/inanimate08e_ap.jpg","Nam2/inanimate08d_hp.jpg","left","nam","N","left",1
319,3,3,20,"cc/abstract07e_ap.jpg","cc/abstract07e_hp.jpg","right","unn","N","right",1
319,3,3,21,"cc/abstract07d_ap.jpg","cc/abstract07d_hp.jpg","right","unn","N","right",1
319,3,3,22,"cc/abstract07c_ap.jpg","cc/abstract07b_hp.jpg","left","unn","RT","left",1
319,3,3,23,"Nam2/inanimate08c_ap.jpg","Nam2/inanimate08c_hp.jpg","right","nam","RT","right",1
319,3,3,24,"Nam2/inanimate08d_ap.jpg","Nam2/inanimate08e_hp.jpg","left","nam","N","left",1
319,4,4,1,"Nam2/inanimate01b_ap.jpg","Nam2/inanimate01c_hp.jpg","left","nam","RT","right",0
319,4,4,2,"Nam2/inanimate01_ap.jpg","Nam2/inanimate01_hp.jpg","right","nam","RS","right",1
319,4,4,3,"cc/abstract08b_ap.jpg","cc/abstract08b_hp.jpg","right","unn","RT","right",1
319,4,4,4,"cc/abstract08_ap.jpg","cc/abstract08a_hp.jpg","left","unn","RS","left",1
319,4,4,5,"Nam2/inanimate01a_ap.jpg","Nam2/inanimate01a_hp.jpg","right","nam","RS","right",1
319,4,4,6,"cc/abstract08a_ap.jpg","cc/abstract08_hp.jpg","left","unn","RS","left",1
319,4,4,7,"Nam2/inanimate01e_ap.jpg","Nam2/inanimate01e_hp.jpg","right","nam","N","left",0
319,4,4,8,"cc/abstract08e_ap.jpg","cc/abstract08d_hp.jpg","left","unn","N","left",1
319,4,4,9,"cc/abstract08d_ap.jpg","cc/abstract08e_hp.jpg","left","unn","N","right",0
319,4,4,10,"cc/abstract08c_ap.jpg","cc/abstract08c_hp.jpg","right","unn","RT","left",0
319,4,4,11,"Nam2/inanimate01c_ap.jpg","Nam2/inanimate01b_hp.jpg","left","nam","RT","left",1
319,4,4,12,"Nam2/inanimate01d_ap.jpg","Nam2/inanimate01d_hp.jpg","right","nam","N","left",0
319,4,4,13,"Nam2/inanimate01b_ap.jpg","Nam2/inanimate01b_hp.jpg","right","nam","RT","right",1
319,4,4,14,"Nam2/inanimate01_ap.jpg","Nam2/inanimate01a_hp.jpg","left","nam","RS","right",0
319,4,4,15,"cc/abstract08b_ap.jpg","cc/abstract08c_hp.jpg","left","unn","RT","left",1
319,4,4,16,"cc/abstract08_ap.jpg","cc/abstract08_hp.jpg","right","unn","RS","right",1
319,4,4,17,"Nam2/inanimate01a_ap.jpg","Nam2/inanimate01_hp.jpg","left","nam","RS","right",0
319,4,4,18,"cc/abstract08a_ap.jpg","cc/abstract08a_hp.jpg","right","unn","RS","right",1
319,4,4,19,"Nam2/inanimate01e_ap.jpg","Nam2/inanimate01d_hp.jpg","left","nam","N","left",1
319,4,4,20,"cc/abstract08e_ap.jpg","cc/abstract08e_hp.jpg","right","unn","N","left",0
319,4,4,21,"cc/abstract08d_ap.jpg","cc/abstract08d_hp.jpg","right","unn","N","right",1
319,4,4,22,"cc/abstract08c_ap.jpg","cc/abstract08b_hp.jpg","left","unn","RT","left",1
319,4,4,23,"Nam2/inanimate01c_ap.jpg","Nam2/inanimate01c_hp.jpg","right","nam","RT","right",1
319,4,4,24,"Nam2/inanimate01d_ap.jpg","Nam2/inanimate01e_hp.jpg","left","nam","N","right",0
319,5,5,1,"Nam2/inanimate05b_ap.jpg","Nam2/inanimate05c_hp.jpg","left","nam","RT","left",1
319,5,5,2,"Nam2/inanimate05_ap.jpg","Nam2/inanimate05_hp.jpg","right","nam","RS","right",1
319,5,5,3,"cc/abstract03b_ap.jpg","cc/abstract03b_hp.jpg","right","unn","RT","left",0
319,5,5,4,"cc/abstract03_ap.jpg","cc/abstract03a_hp.jpg","left","unn","RS","left",1
319,5,5,5,"Nam2/inanimate05a_ap.jpg","Nam2/inanimate05a_hp.jpg","right","nam","RS","right",1
319,5,5,6,"cc/abstract03a_ap.jpg","cc/abstract03_hp.jpg","left","unn","RS","left",1
319,5,5,7,"Nam2/inanimate05e_ap.jpg","Nam2/inanimate05e_hp.jpg","right","nam","N","right",1
319,5,5,8,"cc/abstract03e_ap.jpg","cc/abstract03d_hp.jpg","left","unn","N","left",1
319,5,5,9,"cc/abstract03d_ap.jpg","cc/abstract03e_hp.jpg","left","unn","N","right",0
319,5,5,10,"cc/abstract03c_ap.jpg","cc/abstract03c_hp.jpg","right","unn","RT","right",1
319,5,5,11,"Nam2/inanimate05c_ap.jpg","Nam2/inanimate05b_hp.jpg","left","nam","RT","left",1
319,5,5,12,"Nam2/inanimate05d_ap.jpg","Nam2/inanimate05d_hp.jpg","right","nam","N","left",0
319,5,5,13,"Nam2/inanimate05b_ap.jpg","Nam2/inanimate05b_hp.jpg","right","nam","RT","right",1
319,5,5,14,"Nam2/inanimate05_ap.jpg","Nam2/inanimate05a_hp.jpg","left","nam","RS","right",0
319,5,5,15,"cc/abstract03b_ap.jpg","cc/abstract03c_hp.jpg","left","unn","RT","left",1
319,5,5,16,"cc/abstract03_ap.jpg","cc/abstract03_hp.jpg","right","unn","RS","right",1
319,5,5,17,"Nam2/inanimate05a_ap.jpg","Nam2/inanimate05_hp.jpg","left","nam","RS","left",1
319,5,5,18,"cc/abstract03a_ap.jpg","cc/abstract03a_hp.jpg","right","unn","RS","left",0
319,5,5,19,"Nam2/inanimate05e_ap.jpg","Nam2/inanimate05d_hp.jpg","left","nam","N","right",0
319,5,5,20,"cc/abstract03e_ap.jpg","cc/abstract03e_hp.jpg","right","unn","N","right",1
319,5,5,21,"cc/abstract03d_ap.jpg","cc/abstract03d_hp.jpg","right","unn","N","left",0
319,5,5,22,"cc/abstract03c_ap.jpg","cc/abstract03b_hp.jpg","left","unn","RT","right",0
319,5,5,23,"Nam2/inanimate05c_ap.jpg","Nam2/inanimate05c_hp.jpg","right","nam","RT","right",1
319,5,5,24,"Nam2/inanimate05d_ap.jpg","Nam2/inanimate05e_hp.jpg","left","nam","N","left",1
319,6,6,1,"cc/abstract04c_ap.jpg","cc/abstract04c_hp.jpg","right","unn","RT","left",0
319,6,6,2,"Nam2/inanimate03d_ap.jpg","Nam2/inanimate03d_hp.jpg","right","nam","N","right",1
319,6,6,3,"cc/abstract04_ap.jpg","cc/abstract04a_hp.jpg","left","unn","RS","right",0
319,6,6,4,"cc/abstract04a_ap.jpg","cc/abstract04_hp.jpg","left","unn","RS","left",1
319,6,6,5,"Nam2/inanimate03c_ap.jpg","Nam2/inanimate03b_hp.jpg","left","nam","RT","left",1
319,6,6,6,"Nam2/inanimate03a_ap.jpg","Nam2/inanimate03a_hp.jpg","right","nam","RS","right",1
319,6,6,7,"Nam2/inanimate03e_ap.jpg","Nam2/inanimate03e_hp.jpg","right","nam","N","right",1
319,6,6,8,"Nam2/inanimate03b_ap.jpg","Nam2/inanimate03c_hp.jpg","left","nam","RT","left",1
319,6,6,9,"Nam2/inanimate03_ap.jpg","Nam2/inanimate03_hp.jpg","right","nam","RS","right",1
319,6,6,10,"cc/abstract04b_ap.jpg","cc/abstract04b_hp.jpg","right","unn","RT","right",1
319,6,6,11,"cc/abstract04d_ap.jpg","cc/abstract04e_hp.jpg","left","unn","N","right",0
319,6,6,12,"cc/abstract04e_ap.jpg","cc/abstract04d_hp.jpg","left","unn","N","right",0
319,6,6,13,"Nam2/inanimate03b_ap.jpg","Nam2/inanimate03b_hp.jpg","right","nam","RT","right",1
319,6,6,14,"Nam2/inanimate03_ap.jpg","Nam2/inanimate03a_hp.jpg","left","nam","RS","left",1
319,6,6,15,"cc/abstract04b_ap.jpg","cc/abstract04c_hp.jpg","left","unn","RT","left",1
319,6,6,16,"cc/abstract04_ap.jpg","cc/abstract04_hp.jpg","right","unn","RS","right",1
319,6,6,17,"Nam2/inanimate03a_ap.jpg","Nam2/inanimate03_hp.jpg","left","nam","RS","left",1
319,6,6,18,"cc/abstract04a_ap.jpg","cc/abstract04a_hp.jpg","right","unn","RS","left",0
319,6,6,19,"Nam2/inanimate03e_ap.jpg","Nam2/inanimate03d_hp.jpg","left","nam","N","left",1
319,6,6,20,"cc/abstract04e_ap.jpg","cc/abstract04e_hp.jpg","right","unn","N","right",1
319,6,6,21,"cc/abstract04d_ap.jpg","cc/abstract04d_hp.jpg","right","unn","N","right",1
319,6,6,22,"cc/abstract04c_ap.jpg","cc/abstract04b_hp.jpg","left","unn","RT","left",1
319,6,6,23,"Nam2/inanimate03c_ap.jpg","Nam2/inanimate03c_hp.jpg","right","nam","RT","right",1
319,6,6,24,"Nam2/inanimate03d_ap.jpg","Nam2/inanimate03e_hp.jpg","left","nam","N","left",1
319,7,7,1,"Nam2/inanimate09b_ap.jpg","Nam2/inanimate09c_hp.jpg","left","nam","RT","left",1
319,7,7,2,"Nam2/inanimate09_ap.jpg","Nam2/inanimate09_hp.jpg","right","nam","RS","right",1
319,7,7,3,"cc/abstract01b_ap.jpg","cc/abstract01b_hp.jpg","right","unn","RT","right",1
319,7,7,4,"cc/abstract01_ap.jpg","cc/abstract01a_hp.jpg","left","unn","RS","right",0
319,7,7,5,"Nam2/inanimate09a_ap.jpg","Nam2/inanimate09a_hp.jpg","right","nam","RS","right",1
319,7,7,6,"cc/abstract01a_ap.jpg","cc/abstract01_hp.jpg","left","unn","RS","left",1
319,7,7,7,"Nam2/inanimate09e_ap.jpg","Nam2/inanimate09e_hp.jpg","right","nam","N","right",1
319,7,7,8,"cc/abstract01e_ap.jpg","cc/abstract01d_hp.jpg","left","unn","N","right",0
319,7,7,9,"cc/abstract01d_ap.jpg","cc/abstract01e_hp.jpg","left","unn","N","left",1
319,7,7,10,"cc/abstract01c_ap.jpg","cc/abstract01c_hp.jpg","right","unn","RT","right",1
319,7,7,11,"Nam2/inanimate09c_ap.jpg","Nam2/inanimate09b_hp.jpg","left","nam","RT","left",1
319,7,7,12,"Nam2/inanimate09d_ap.jpg","Nam2/inanimate09d_hp.jpg","right","nam","N","right",1
319,7,7,13,"Nam2/inanimate09b_ap.jpg","Nam2/inanimate09b_hp.jpg","right","nam","RT","right",1
319,7,7,14,"Nam2/inanimate09_ap.jpg","Nam2/inanimate09a_hp.jpg","left","nam","RS","left",1
319,7,7,15,"cc/abstract01b_ap.jpg","cc/abstract01c_hp.jpg","left","unn","RT","left",1
319,7,7,16,"cc/abstract01_ap.jpg","cc/abstract01_hp.jpg","right","unn","RS","left",0
319,7,7,17,"Nam2/inanimate09a_ap.jpg","Nam2/inanimate09_hp.jpg","left","nam","RS","left",1
319,7,7,18,"cc/abstract01a_ap.jpg","cc/abstract01a_hp.jpg","right","unn","RS","right",1
319,7,7,19,"Nam2/inanimate09e_ap.jpg","Nam2/inanimate09d_hp.jpg","left","nam","N","left",1
319,7,7,20,"cc/abstract01e_ap.jpg","cc/abstract01e_hp.jpg","right","unn","N","left",0
319,7,7,21,"cc/abstract01d_ap.jpg","cc/abstract01d_hp.jpg","right","unn","N","right",1
319,7,7,22,"cc/abstract01c_ap.jpg","cc/abstract01b_hp.jpg","left","unn","RT","right",0
319,7,7,23,"Nam2/inanimate09c_ap.jpg","Nam2/inanimate09c_hp.jpg","right","nam","RT","right",1
319,7,7,24,"Nam2/inanimate09d_ap.jpg","Nam2/inanimate09e_hp.jpg","left","nam","N","left",1
319,8,8,1,"Nam2/inanimate04b_ap.jpg","Nam2/inanimate04c_hp.jpg","left","nam","RT","left",1
319,8,8,2,"Nam2/inanimate04_ap.jpg","Nam2/inanimate04_hp.jpg","right","nam","RS","left",0
319,8,8,3,"cc/abstract02b_ap.jpg","cc/abstract02b_hp.jpg","right","unn","RT","right",1
319,8,8,4,"cc/abstract02_ap.jpg","cc/abstract02a_hp.jpg","left","unn","RS","left",1
319,8,8,5,"Nam2/inanimate04a_ap.jpg","Nam2/inanimate04a_hp.jpg","right","nam","RS","right",1
319,8,8,6,"cc/abstract02a_ap.jpg","cc/abstract02_hp.jpg","left","unn","RS","None",0
319,8,8,7,"Nam2/inanimate04e_ap.jpg","Nam2/inanimate04e_hp.jpg","right","nam","N","left",0
319,8,8,8,"cc/abstract02e_ap.jpg","cc/abstract02d_hp.jpg","left","unn","N","left",1
319,8,8,9,"cc/abstract02d_ap.jpg","cc/abstract02e_hp.jpg","left","unn","N","left",1
319,8,8,10,"cc/abstract02c_ap.jpg","cc/abstract02c_hp.jpg","right","unn","RT","right",1
319,8,8,11,"Nam2/inanimate04c_ap.jpg","Nam2/inanimate04b_hp.jpg","left","nam","RT","left",1
319,8,8,12,"Nam2/inanimate04d_ap.jpg","Nam2/inanimate04d_hp.jpg","right","nam","N","right",1
319,8,8,13,"Nam2/inanimate04b_ap.jpg","Nam2/inanimate04b_hp.jpg","right","nam","RT","right",1
319,8,8,14,"Nam2/inanimate04_ap.jpg","Nam2/inanimate04a_hp.jpg","left","nam","RS","left",1
319,8,8,15,"cc/abstract02b_ap.jpg","cc/abstract02c_hp.jpg","left","unn","RT","left",1
319,8,8,16,"cc/abstract02_ap.jpg","cc/abstract02_hp.jpg","right","unn","RS","right",1
319,8,8,17,"Nam2/inanimate04a_ap.jpg","Nam2/inanimate04_hp.jpg","left","nam","RS","left",1
319,8,8,18,"cc/abstract02a_ap.jpg","cc/abstract02a_hp.jpg","right","unn","RS","right",1
319,8,8,19,"Nam2/inanimate04e_ap.jpg","Nam2/inanimate04d_hp.jpg","left","nam","N","left",1
319,8,8,20,"cc/abstract02e_ap.jpg","cc/abstract02e_hp.jpg","right","unn","N","right",1
319,8,8,21,"cc/abstract02d_ap.jpg","cc/abstract02d_hp.jpg","right","unn","N","right",1
319,8,8,22,"cc/abstract02c_ap.jpg","cc/abstract02b_hp.jpg","left","unn","RT","left",1
319,8,8,23,"Nam2/inanimate04c_ap.jpg","Nam2/inanimate04c_hp.jpg","right","nam","RT","right",1
319,8,8,24,"Nam2/inanimate04d_ap.jpg","Nam2/inanimate04e_hp.jpg","left","nam","N","left",1
