"current_ap","ap_key_test.keys","current_hp","block","intact","key_resp_2.keys","key_resp_2.corr","key_resp_2.rt","participant","nam_unn","rs_rt_n"
"jury",1,"UnnBuff2/abstractbuff02a.jpg",1,"left","left",1,1.2868018001318,249,"unn","RS"
"inch",1,"UnnBuff2/abstractbuff01b.jpg",1,"right","left",0,1.25519589986652,249,"unn","RT"
"frown",3,"namBuff2/inanibuff03b.jpg",1,"left","right",0,1.24587209988385,249,"nam","RT"
"drug",1,"namBuff2/inanibuff01a.jpg",1,"right","right",1,1.4217162001878,249,"nam","RS"
"trench",3,"namBuff2/inanibuff03c.jpg",1,"left","right",0,0.711337099783123,249,"nam","RT"
"avenue",1,"UnnBuff2/abstractbuff02.jpg",1,"left","left",1,1.17430729977787,249,"unn","RS"
"shelter",2,"namBuff2/inanibuff01c.jpg",1,"left","left",1,1.47822929918766,249,"nam","RT"
"voter",1,"namBuff2/inanibuff01b.jpg",1,"left","left",1,1.43798850011081,249,"nam","RT"
"product",1,"namBuff2/inanibuff03a.jpg",1,"right","left",0,2.13425769936293,249,"nam","RS"
"writer",1,"namBuff2/inanibuff01.jpg",1,"right","right",1,1.81462839990854,249,"nam","RS"
"waltz",1,"UnnBuff2/abstractbuff01.jpg",1,"left","right",0,1.04680089931935,249,"unn","RS"
"wind",1,"UnnBuff2/abstractbuff02c.jpg",1,"right","left",0,1.11795059964061,249,"unn","RT"
"mile",1,"namBuff2/inanibuff03.jpg",1,"right","left",0,2.26204339973629,249,"nam","RS"
"ledge",1,"UnnBuff2/abstractbuff02b.jpg",1,"right","left",0,1.50941990036517,249,"unn","RT"
"storage",1,"UnnBuff2/abstractbuff01c.jpg",1,"right","left",0,0.963428499177098,249,"unn","RT"
"sports",1,"UnnBuff2/abstractbuff01a.jpg",1,"left","left",1,1.34905019961298,249,"unn","RS"
"perfume",1,"Nam2/inanimate08a.jpg",2,"left","right",0,3.38205999974161,249,"nam","RS"
"class",1,"Unn2/abstract07a.jpg",2,"left","left",1,0.669713500887156,249,"unn","RS"
"vacuum",1,"Unn2/abstract06a.jpg",2,"right","right",1,1.92503709997982,249,"unn","RS"
"camp",3,"Unn2/abstract06b.jpg",2,"left","left",1,0.733382700011134,249,"unn","RT"
"peer",1,"Unn2/abstract07b.jpg",2,"right","right",1,0.772973500192165,249,"unn","RT"
"squash",2,"Nam2/inanimate08.jpg",2,"left","right",0,0.92445190064609,249,"nam","RS"
"dresser",1,"Unn2/abstract06.jpg",2,"right","right",1,0.940262299962342,249,"unn","RS"
"hippie",3,"Nam2/inanimate08c.jpg",2,"right","right",1,0.38880730047822,249,"nam","RT"
"club",1,"Unn2/abstract07.jpg",2,"left","left",1,0.757650099694729,249,"unn","RS"
"brow",3,"Nam2/inanimate06b.jpg",2,"left","left",1,1.17211710009724,249,"nam","RT"
"fighter",1,"Nam2/inanimate06c.jpg",2,"left","right",0,2.27667749952525,249,"nam","RT"
"estate",1,"Nam2/inanimate08b.jpg",2,"right","right",1,1.858633200638,249,"nam","RT"
"leader",2,"Nam2/inanimate06.jpg",2,"right","right",1,1.00306309945881,249,"nam","RS"
"racket",1,"Unn2/abstract06c.jpg",2,"left","left",1,1.39627700019628,249,"unn","RT"
"lane",1,"Nam2/inanimate06a.jpg",2,"right","left",0,1.62034809961915,249,"nam","RS"
"genes",2,"Unn2/abstract07c.jpg",2,"right","right",1,0.570519800297916,249,"unn","RT"
"teacher",3,"Unn2/abstract09a.jpg",3,"right","right",1,0.958639800548554,249,"unn","RS"
"breeze",1,"Unn2/abstract09.jpg",3,"right","right",1,0.449084599502385,249,"unn","RS"
"hostage",3,"Nam2/inanimate07b.jpg",3,"left","left",1,0.463816499337554,249,"nam","RT"
"beast",3,"Unn2/abstract09c.jpg",3,"left","right",0,3.13515160046518,249,"unn","RT"
"payment",1,"Nam2/inanimate01a.jpg",3,"left","left",1,1.41644250042737,249,"nam","RS"
"injury",1,"Nam2/inanimate07.jpg",3,"right","left",0,1.46477680001408,249,"nam","RS"
"poetry",2,"Nam2/inanimate01c.jpg",3,"right","left",0,0.86349010001868,249,"nam","RT"
"honey",1,"Unn2/abstract05b.jpg",3,"right","right",1,1.99102069996297,249,"unn","RT"
"agent",2,"Nam2/inanimate07a.jpg",3,"right","right",1,2.38404879998416,249,"nam","RS"
"saint",3,"Nam2/inanimate01.jpg",3,"left","left",1,0.640508599579334,249,"nam","RS"
