"current_ap","current_hp","block","intact","nam_unn","rs_rt_n","key_resp_14.keys","key_resp_14.corr","participant"
"unn2/abstract08a_ap3.jpg","unn2/abstract08_hp3.jpg",3,"left","unn","N","right",0,545
"unn2/abstract08c_ap3.jpg","unn2/abstract08c_hp3.jpg",3,"right","unn","RS","right",1,545
"unn2/abstract08b_ap3.jpg","unn2/abstract08b_hp3.jpg",3,"right","unn","RS","right",1,545
"Nam2/inanimate04b_ap3.jpg","Nam2/inanimate04c_hp3.jpg",3,"left","nam","RS","left",1,545
"Nam2/inanimate04d_ap3.jpg","Nam2/inanimate04d_hp3.jpg",3,"right","nam","RT","right",1,545
"Nam2/inanimate04e_ap3.jpg","Nam2/inanimate04e_hp3.jpg",3,"right","nam","RT","right",1,545
"unn2/abstract08_ap3.jpg","unn2/abstract08a_hp3.jpg",3,"left","unn","N","left",1,545
"Nam2/inanimate04a_ap3.jpg","Nam2/inanimate04a_hp3.jpg",3,"right","nam","N","right",1,545
"Nam2/inanimate04c_ap3.jpg","Nam2/inanimate04c_hp3.jpg",3,"right","nam","RS","left",0,545
"unn2/abstract08d_ap3.jpg","unn2/abstract08d_hp3.jpg",3,"right","unn","RT","right",1,545
"Nam2/inanimate04_ap3.jpg","Nam2/inanimate04a_hp3.jpg",3,"left","nam","N","left",1,545
"unn2/abstract08e_ap3.jpg","unn2/abstract08e_hp3.jpg",3,"right","unn","RT","right",1,545
"unn2/abstract08a_ap3.jpg","unn2/abstract08a_hp3.jpg",3,"right","unn","N","right",1,545
"unn2/abstract08c_ap3.jpg","unn2/abstract08b_hp3.jpg",3,"left","unn","RS","left",1,545
"unn2/abstract08b_ap3.jpg","unn2/abstract08c_hp3.jpg",3,"left","unn","RS","left",1,545
"Nam2/inanimate04b_ap3.jpg","Nam2/inanimate04b_hp3.jpg",3,"right","nam","RS","right",1,545
"Nam2/inanimate04d_ap3.jpg","Nam2/inanimate04e_hp3.jpg",3,"left","nam","RT","left",1,545
"Nam2/inanimate04e_ap3.jpg","Nam2/inanimate04d_hp3.jpg",3,"left","nam","RT","left",1,545
"unn2/abstract08_ap3.jpg","unn2/abstract08_hp3.jpg",3,"right","unn","N","right",1,545
"Nam2/inanimate04a_ap3.jpg","Nam2/inanimate04_hp3.jpg",3,"left","nam","N","left",1,545
"unn2/abstract06d_ap3.jpg","unn2/abstract06e_hp3.jpg",4,"left","unn","RT","left",1,545
"Nam2/inanimate01_ap3.jpg","Nam2/inanimate01_hp3.jpg",4,"right","nam","N","right",1,545
"unn2/abstract06e_ap3.jpg","unn2/abstract06d_hp3.jpg",4,"left","unn","RT","None",0,545
"unn2/abstract06a_ap3.jpg","unn2/abstract06_hp3.jpg",4,"left","unn","N","left",1,545
"unn2/abstract06c_ap3.jpg","unn2/abstract06c_hp3.jpg",4,"right","unn","RS","right",1,545
"unn2/abstract06b_ap3.jpg","unn2/abstract06b_hp3.jpg",4,"right","unn","RS","right",1,545
"Nam2/inanimate01b_ap3.jpg","Nam2/inanimate01c_hp3.jpg",4,"left","nam","RS","left",1,545
"Nam2/inanimate01d_ap3.jpg","Nam2/inanimate01d_hp3.jpg",4,"right","nam","RT","right",1,545
"Nam2/inanimate01e_ap3.jpg","Nam2/inanimate01e_hp3.jpg",4,"right","nam","RT","right",1,545
"unn2/abstract06_ap3.jpg","unn2/abstract06a_hp3.jpg",4,"left","unn","N","left",1,545
"Nam2/inanimate01a_ap3.jpg","Nam2/inanimate01a_hp3.jpg",4,"right","nam","N","right",1,545
"Nam2/inanimate01c_ap3.jpg","Nam2/inanimate01c_hp3.jpg",4,"right","nam","RS","left",0,545
"unn2/abstract06d_ap3.jpg","unn2/abstract06d_hp3.jpg",4,"right","unn","RT","right",1,545
"Nam2/inanimate01_ap3.jpg","Nam2/inanimate01a_hp3.jpg",4,"left","nam","N","left",1,545
"unn2/abstract06e_ap3.jpg","unn2/abstract06e_hp3.jpg",4,"right","unn","RT","right",1,545
"unn2/abstract06a_ap3.jpg","unn2/abstract06a_hp3.jpg",4,"right","unn","N","right",1,545
