"current_ap","ap_key_test.keys","current_hp","block","intact","key_resp_2.keys","key_resp_2.corr","key_resp_2.rt","participant","nam_unn","rs_rt_n"
"avenue","3","UnnBuff2/abstractbuff02a.jpg",1,"left","left",1,1.93097740039229,243,"unn","RS"
"product","2","UnnBuff2/abstractbuff01b.jpg",1,"right","right",1,0.9629310015589,243,"unn","RT"
"storage","1","namBuff2/inanibuff01b.jpg",1,"left","left",1,2.18569890037179,243,"nam","RT"
"inch","2","namBuff2/inanibuff03a.jpg",1,"right","right",1,2.29053759947419,243,"nam","RS"
"ledge","2","namBuff2/inanibuff01c.jpg",1,"left","left",1,2.22729310020804,243,"nam","RT"
"voter","2","UnnBuff2/abstractbuff02.jpg",1,"left","left",1,1.78513909876347,243,"unn","RS"
"drug","1","namBuff2/inanibuff03c.jpg",1,"left","left",1,1.64228660054505,243,"nam","RT"
"trench","2","namBuff2/inanibuff03b.jpg",1,"left","left",1,1.21755370125175,243,"nam","RT"
"waltz","2","namBuff2/inanibuff01a.jpg",1,"right","right",1,1.64374030008912,243,"nam","RS"
"mile","2","namBuff2/inanibuff03.jpg",1,"right","right",1,0.970682298764586,243,"nam","RS"
"wind","2","UnnBuff2/abstractbuff01.jpg",1,"left","left",1,2.08930249884725,243,"unn","RS"
"frown","2","UnnBuff2/abstractbuff02c.jpg",1,"right","left",0,1.52153449878097,243,"unn","RT"
"sports","1","namBuff2/inanibuff01.jpg",1,"right","right",1,1.37643220089376,243,"nam","RS"
"shelter","2","UnnBuff2/abstractbuff02b.jpg",1,"right","left",0,2.57733369991183,243,"unn","RT"
"writer","1","UnnBuff2/abstractbuff01c.jpg",1,"right","left",0,1.76024580001831,243,"unn","RT"
"jury","2","UnnBuff2/abstractbuff01a.jpg",1,"left","right",0,0.489893401041627,243,"unn","RS"
"clan","1","Nam2/inanimate08a.jpg",2,"left","left",1,1.58874559961259,243,"nam","RS"
"vitamin","2","Unn2/abstract07a.jpg",2,"left","left",1,0.795287799090147,243,"unn","RS"
"movie","3","Unn2/abstract06a.jpg",2,"right","right",1,1.08444689959288,243,"unn","RS"
"agent","1","Unn2/abstract06b.jpg",2,"left","left",1,1.19717629998922,243,"unn","RT"
"perfume","2","Unn2/abstract07b.jpg",2,"right","right",1,1.94047989882529,243,"unn","RT"
"breeze","3","Nam2/inanimate08.jpg",2,"left","right",0,0.852366399019957,243,"nam","RS"
"rash","3","Unn2/abstract06.jpg",2,"right","right",1,1.09224040061235,243,"unn","RS"
"hostage","3","Nam2/inanimate08c.jpg",2,"right","right",1,1.6763119995594,243,"nam","RT"
"galaxy","3","Unn2/abstract07.jpg",2,"left","left",1,1.38001620024443,243,"unn","RS"
"camp","2","Nam2/inanimate06b.jpg",2,"left","left",1,2.652667298913,243,"nam","RT"
"hippie","1","Nam2/inanimate06c.jpg",2,"left","left",1,1.74953620135784,243,"nam","RT"
"data","2","Nam2/inanimate08b.jpg",2,"right","right",1,1.3635975997895,243,"nam","RT"
"award","None","Nam2/inanimate06.jpg",2,"right","right",1,1.57975509949028,243,"nam","RS"
"client","3","Unn2/abstract06c.jpg",2,"left","left",1,1.18756339885294,243,"unn","RT"
"peer","2","Nam2/inanimate06a.jpg",2,"right","right",1,2.56432859972119,243,"nam","RS"
"racket","2","Unn2/abstract07c.jpg",2,"right","right",1,1.27471790090203,243,"unn","RT"
"saint","2","Unn2/abstract09a.jpg",3,"right","right",1,1.16241460107267,243,"unn","RS"
"diploma","3","Unn2/abstract09.jpg",3,"right","right",1,1.02510230056942,243,"unn","RS"
