"current_ap","ap_key_test.keys","current_hp","block","intact","key_resp_2.keys","key_resp_2.corr","key_resp_2.rt","participant","nam_unn","rs_rt_n"
"voter","2","UnnBuff2/abstractbuff02a.jpg",1,"left","left",1,2.42032990000007,224,"unn","RT"
"jury","1","UnnBuff2/abstractbuff01b.jpg",1,"right","right",1,1.22014639999998,224,"unn","RS"
"avenue","2","namBuff2/inanibuff03b.jpg",1,"left","right",0,2.05202290000034,224,"nam","RS"
"trench","3","namBuff2/inanibuff01a.jpg",1,"right","right",1,1.11680999999953,224,"nam","RT"
"inch","3","namBuff2/inanibuff03c.jpg",1,"left","left",1,1.31672950000029,224,"nam","RS"
"shelter","2","UnnBuff2/abstractbuff02.jpg",1,"left","left",1,2.04526729999998,224,"unn","RT"
"sports","1","namBuff2/inanibuff01c.jpg",1,"left","right",0,1.27644959999998,224,"nam","RS"
"waltz","2","namBuff2/inanibuff01b.jpg",1,"left","right",0,1.3004877000003,224,"nam","RS"
"frown","3","namBuff2/inanibuff03a.jpg",1,"right","right",1,1.06086679999953,224,"nam","RT"
"product","1","namBuff2/inanibuff01.jpg",1,"right","left",0,1.35587250000026,224,"nam","RT"
"mile","1","UnnBuff2/abstractbuff01.jpg",1,"left","left",1,3.34813840000061,224,"unn","RT"
"writer","1","UnnBuff2/abstractbuff02c.jpg",1,"right","right",1,1.68293840000024,224,"unn","RS"
"storage","1","namBuff2/inanibuff03.jpg",1,"right","left",0,1.93996100000004,224,"nam","RT"
"drug","1","UnnBuff2/abstractbuff02b.jpg",1,"right","right",1,1.96265099999982,224,"unn","RS"
"ledge","1","UnnBuff2/abstractbuff01c.jpg",1,"right","right",1,1.02608569999938,224,"unn","RS"
"wind","1","UnnBuff2/abstractbuff01a.jpg",1,"left","left",1,1.34696650000024,224,"unn","RT"
"clan","None","Nam2/inanimate08a.jpg",2,"left","left",1,2.55214049999995,224,"nam","RT"
"vitamin","3","Unn2/abstract07a.jpg",2,"left","left",1,2.00611010000011,224,"unn","RT"
"movie","1","Unn2/abstract06a.jpg",2,"right","right",1,1.84080319999975,224,"unn","RT"
"agent","2","Unn2/abstract06b.jpg",2,"left","left",1,2.09653160000016,224,"unn","RS"
"perfume","2","Unn2/abstract07b.jpg",2,"right","right",1,1.94402160000027,224,"unn","RS"
"breeze","3","Nam2/inanimate08.jpg",2,"left","None",0,NA,224,"nam","RT"
"rash","1","Unn2/abstract06.jpg",2,"right","right",1,1.24768669999958,224,"unn","RT"
"hostage","2","Nam2/inanimate08c.jpg",2,"right","right",1,1.83977719999984,224,"nam","RS"
