aperture_image,correct_image,isCorrect,participant,source,rs_rt_n,nam_unn
Nam2/inanimate01a.jpg,Nam2/inanimate01a.jpg,NA,608,set1,N,nam
Nam2/inanimate03b_ap.jpg,Nam2/inanimate03b.jpg,FALSE,608,set1,RS,nam
unn2/abstract09d_ap.jpg,unn2/abstract09d.jpg,FALSE,608,set1,RT,unn
Nam2/inanimate03c_ap.jpg,Nam2/inanimate03c.jpg,TRUE,608,set1,RS,nam
unn2/abstract09a_ap.jpg,unn2/abstract09a.jpg,TRUE,608,set1,N,unn
unn2/abstract09b_ap.jpg,unn2/abstract09b.jpg,TRUE,608,set1,RS,unn
Nam2/inanimate03d_ap.jpg,Nam2/inanimate03d.jpg,TRUE,608,set1,RT,nam
unn2/abstract09e_ap.jpg,unn2/abstract09e.jpg,FALSE,608,set1,RT,unn
Nam2/inanimate03a_ap.jpg,Nam2/inanimate03a.jpg,TRUE,608,set1,N,nam
Nam2/inanimate03e_ap.jpg,Nam2/inanimate03e.jpg,FALSE,608,set1,RT,nam
Nam2/inanimate03_ap.jpg,Nam2/inanimate03.jpg,TRUE,608,set1,N,nam
unn2/abstract09_ap.jpg,unn2/abstract09.jpg,TRUE,608,set1,N,unn
unn2/abstract09c_ap.jpg,unn2/abstract09c.jpg,FALSE,608,set1,RS,unn
Nam2/inanimate10b_ap.jpg,Nam2/inanimate10b.jpg,FALSE,608,set1,RS,nam
unn2/abstract08d_ap.jpg,unn2/abstract08d.jpg,TRUE,608,set1,RT,unn
Nam2/inanimate10c_ap.jpg,Nam2/inanimate10c.jpg,TRUE,608,set1,RS,nam
unn2/abstract08a_ap.jpg,unn2/abstract08a.jpg,FALSE,608,set1,N,unn
unn2/abstract08b_ap.jpg,unn2/abstract08b.jpg,TRUE,608,set1,RS,unn
Nam2/inanimate10d_ap.jpg,Nam2/inanimate10d.jpg,TRUE,608,set1,RT,nam
unn2/abstract08e_ap.jpg,unn2/abstract08e.jpg,TRUE,608,set1,RT,unn
Nam2/inanimate10a_ap.jpg,Nam2/inanimate10a.jpg,TRUE,608,set1,N,nam
