"current_ap","ap_key_test.keys","current_hp","block","intact","key_resp_2.keys","key_resp_2.corr","key_resp_2.rt","participant","nam_unn","rs_rt_n"
"waltz",2,"UnnBuff2/abstractbuff02a.jpg",1,"left","left",1,0.602811799995834,228,"unn","RT"
"shelter",2,"UnnBuff2/abstractbuff01b.jpg",1,"right","right",1,0.611304399993969,228,"unn","RS"
"drug",2,"namBuff2/inanibuff03b.jpg",1,"left","left",1,1.49779350002063,228,"nam","RS"
"voter",3,"namBuff2/inanibuff01a.jpg",1,"right","right",1,0.801231599994935,228,"nam","RT"
"avenue",2,"namBuff2/inanibuff03c.jpg",1,"left","left",1,1.61025059997337,228,"nam","RS"
"inch",3,"UnnBuff2/abstractbuff02.jpg",1,"left","left",1,0.601910900004441,228,"unn","RT"
"sports",3,"namBuff2/inanibuff01c.jpg",1,"left","left",1,0.842158099985681,228,"nam","RS"
"wind",3,"namBuff2/inanibuff01b.jpg",1,"left","right",0,0.674008100002538,228,"nam","RS"
"storage",2,"namBuff2/inanibuff03a.jpg",1,"right","right",1,1.84964359999867,228,"nam","RT"
"ledge",3,"namBuff2/inanibuff01.jpg",1,"right","right",1,0.85668299999088,228,"nam","RT"
"jury",1,"UnnBuff2/abstractbuff01.jpg",1,"left","left",1,1.83375619997969,228,"unn","RT"
"mile",3,"UnnBuff2/abstractbuff02c.jpg",1,"right","right",1,0.721869300003164,228,"unn","RS"
"trench",2,"namBuff2/inanibuff03.jpg",1,"right","right",1,2.34412350002094,228,"nam","RT"
"frown",2,"UnnBuff2/abstractbuff02b.jpg",1,"right","right",1,0.568391499982681,228,"unn","RS"
"writer",3,"UnnBuff2/abstractbuff01c.jpg",1,"right","right",1,0.518919599999208,228,"unn","RS"
"product",2,"UnnBuff2/abstractbuff01a.jpg",1,"left","left",1,0.880554599978495,228,"unn","RT"
"clan",2,"Nam2/inanimate08a.jpg",2,"left","left",1,1.06403340000543,228,"nam","RT"
"vitamin",2,"Unn2/abstract07a.jpg",2,"left","left",1,0.726739500008989,228,"unn","RT"
"movie",3,"Unn2/abstract06a.jpg",2,"right","right",1,0.928580000007059,228,"unn","RT"
"agent",2,"Unn2/abstract06b.jpg",2,"left","left",1,1.52032809998491,228,"unn","RS"
"perfume",3,"Unn2/abstract07b.jpg",2,"right","right",1,0.623612900002627,228,"unn","RS"
"breeze",3,"Nam2/inanimate08.jpg",2,"left","left",1,0.862817799992627,228,"nam","RT"
"rash",3,"Unn2/abstract06.jpg",2,"right","right",1,0.648588899988681,228,"unn","RT"
"hostage",2,"Nam2/inanimate08c.jpg",2,"right","right",1,0.671586699987529,228,"nam","RS"
"galaxy",3,"Unn2/abstract07.jpg",2,"left","left",1,0.854340299993055,228,"unn","RT"
"camp",2,"Nam2/inanimate06b.jpg",2,"left","left",1,1.18233159999363,228,"nam","RS"
"hippie",2,"Nam2/inanimate06c.jpg",2,"left","left",1,1.05456620000768,228,"nam","RS"
"data",3,"Nam2/inanimate08b.jpg",2,"right","right",1,0.966033899981994,228,"nam","RS"
"award",1,"Nam2/inanimate06.jpg",2,"right","right",1,2.26214470001287,228,"nam","RT"
"client",3,"Unn2/abstract06c.jpg",2,"left","left",1,1.24661880001076,228,"unn","RS"
"peer",2,"Nam2/inanimate06a.jpg",2,"right","right",1,0.613745099981315,228,"nam","RT"
"racket",2,"Unn2/abstract07c.jpg",2,"right","right",1,0.662117600004422,228,"unn","RS"
"saint",2,"Unn2/abstract09a.jpg",3,"right","right",1,1.15625870000804,228,"unn","RT"
"diploma",3,"Unn2/abstract09.jpg",3,"right","right",1,0.69131340002059,228,"unn","RT"
"brow",3,"Nam2/inanimate07b.jpg",3,"left","left",1,1.13216789998114,228,"nam","RS"
"jazz",3,"Unn2/abstract09c.jpg",3,"left","left",1,0.914999100001296,228,"unn","RS"
"scholar",2,"Nam2/inanimate01a.jpg",3,"left","left",1,1.21204400001443,228,"nam","RT"
"album",3,"Nam2/inanimate07.jpg",3,"right","right",1,1.06882220000261,228,"nam","RT"
"author",2,"Nam2/inanimate01c.jpg",3,"right","right",1,1.65188739998848,228,"nam","RS"
"comma",3,"Unn2/abstract05b.jpg",3,"right","right",1,2.02742920001037,228,"unn","RS"
"squash",3,"Nam2/inanimate07a.jpg",3,"right","right",1,0.858829199976753,228,"nam","RT"
"hall",3,"Nam2/inanimate01.jpg",3,"left","left",1,0.691042999998899,228,"nam","RT"
"poet",2,"Nam2/inanimate01b.jpg",3,"right","right",1,1.38758519999101,228,"nam","RS"
"symbol",2,"Unn2/abstract05.jpg",3,"left","left",1,1.05839120000019,228,"unn","RT"
"cuisine",3,"Unn2/abstract09b.jpg",3,"left","left",1,0.937691699975403,228,"unn","RS"
"kingdom",3,"Nam2/inanimate07c.jpg",3,"left","left",1,1.30725549999624,228,"nam","RS"
"device",2,"Unn2/abstract05c.jpg",3,"right","right",1,1.17851489997702,228,"unn","RS"
"team",3,"Unn2/abstract05a.jpg",3,"left","left",1,0.593724699981976,228,"unn","RT"
"patient",3,"Nam2/inanimate09c.jpg",4,"right","right",1,1.4582708000089,228,"nam","RS"
"flight",1,"Nam2/inanimate05.jpg",4,"right","right",1,1.72319720001542,228,"nam","RT"
"word",2,"Nam2/inanimate05c.jpg",4,"left","left",1,0.96258150000358,228,"nam","RS"
"lottery",3,"Unn2/abstract08b.jpg",4,"right","right",1,0.658318900008453,228,"unn","RS"
"leader",3,"Unn2/abstract08a.jpg",4,"left","left",1,0.657703999982914,228,"unn","RT"
"fighter",1,"Nam2/inanimate09a.jpg",4,"left","left",1,1.01761189999525,228,"nam","RT"
"wrapper",3,"Unn2/abstract02.jpg",4,"right","right",1,0.681927199999336,228,"unn","RT"
"reward",3,"Unn2/abstract08c.jpg",4,"right","right",1,0.93623569997726,228,"unn","RS"
"holiday",3,"Nam2/inanimate05a.jpg",4,"right","right",1,0.817333500017412,228,"nam","RT"
