"current_ap","ap_key_test.keys","current_hp","block","intact","key_resp_2.keys","key_resp_2.corr","key_resp_2.rt","participant","nam_unn","rs_rt_n"
"jury","2","UnnBuff2/abstractbuff02a.jpg",1,"left","right",0,1.72665520000737,220,"unn","RT"
"trench","None","UnnBuff2/abstractbuff01b.jpg",1,"right","None",0,NA,220,"unn","RS"
"drug","None","namBuff2/inanibuff01b.jpg",1,"left","right",0,1.30042509999475,220,"nam","RS"
"frown","None","namBuff2/inanibuff03a.jpg",1,"right","None",0,NA,220,"nam","RT"
"wind","None","namBuff2/inanibuff01c.jpg",1,"left","None",0,NA,220,"nam","RS"
"waltz","None","UnnBuff2/abstractbuff02.jpg",1,"left","None",0,NA,220,"unn","RT"
"shelter","None","namBuff2/inanibuff03c.jpg",1,"left","None",0,NA,220,"nam","RS"
"mile","None","namBuff2/inanibuff03b.jpg",1,"left","None",0,NA,220,"nam","RS"
"avenue","None","namBuff2/inanibuff01a.jpg",1,"right","None",0,NA,220,"nam","RT"
"inch","None","namBuff2/inanibuff03.jpg",1,"right","None",0,NA,220,"nam","RT"
"voter","None","UnnBuff2/abstractbuff01.jpg",1,"left","None",0,NA,220,"unn","RT"
"ledge","None","UnnBuff2/abstractbuff02c.jpg",1,"right","None",0,NA,220,"unn","RS"
"writer","None","namBuff2/inanibuff01.jpg",1,"right","None",0,NA,220,"nam","RT"
"storage","None","UnnBuff2/abstractbuff02b.jpg",1,"right","None",0,NA,220,"unn","RS"
"product","None","UnnBuff2/abstractbuff01c.jpg",1,"right","right",1,1.66719820001163,220,"unn","RS"
"sports","2","UnnBuff2/abstractbuff01a.jpg",1,"left","right",0,0.731871299998602,220,"unn","RT"
"clan","1","Nam2/inanimate08a.jpg",2,"left","left",1,1.32163240000955,220,"nam","RT"
"vitamin","2","Unn2/abstract07a.jpg",2,"left","right",0,0.937020799989114,220,"unn","RT"
"movie","None","Unn2/abstract06a.jpg",2,"right","right",1,0.929543500009458,220,"unn","RT"
"agent","None","Unn2/abstract06b.jpg",2,"left","left",1,3.30614520001109,220,"unn","RS"
"perfume","3","Unn2/abstract07b.jpg",2,"right","right",1,1.17886330001056,220,"unn","RS"
"breeze","2","Nam2/inanimate08.jpg",2,"left","left",1,1.31329439999536,220,"nam","RT"
"rash","3","Unn2/abstract06.jpg",2,"right","left",0,1.44932580000022,220,"unn","RT"
"hostage","1","Nam2/inanimate08c.jpg",2,"right","left",0,2.08916059997864,220,"nam","RS"
"galaxy","2","Unn2/abstract07.jpg",2,"left","right",0,1.34458999999333,220,"unn","RT"
"camp","2","Nam2/inanimate06b.jpg",2,"left","right",0,1.9525395000237,220,"nam","RS"
"hippie","None","Nam2/inanimate06c.jpg",2,"left","right",0,1.993251900014,220,"nam","RS"
"data","2","Nam2/inanimate08b.jpg",2,"right","left",0,1.76780830000644,220,"nam","RS"
"award","1","Nam2/inanimate06.jpg",2,"right","right",1,1.608289900003,220,"nam","RT"
"client","2","Unn2/abstract06c.jpg",2,"left","right",0,2.00239680000232,220,"unn","RS"
"peer","1","Nam2/inanimate06a.jpg",2,"right","None",0,NA,220,"nam","RT"
"racket","1","Unn2/abstract07c.jpg",2,"right","left",0,0.832486300001619,220,"unn","RS"
"saint","1","Unn2/abstract09a.jpg",3,"right","right",1,2.32361610000953,220,"unn","RT"
"diploma","2","Unn2/abstract09.jpg",3,"right","left",0,1.6272284000006,220,"unn","RT"
"brow","1","Nam2/inanimate07b.jpg",3,"left","left",1,1.06791380001232,220,"nam","RS"
"jazz","2","Unn2/abstract09c.jpg",3,"left","left",1,1.33147879998432,220,"unn","RS"
"scholar","2","Nam2/inanimate01a.jpg",3,"left","right",0,2.4747997999948,220,"nam","RT"
"album","1","Nam2/inanimate07.jpg",3,"right","left",0,0.835141899995506,220,"nam","RT"
"author","2","Nam2/inanimate01c.jpg",3,"right","left",0,1.13086399997701,220,"nam","RS"
"comma","2","Unn2/abstract05b.jpg",3,"right","right",1,1.18767770001432,220,"unn","RS"
"squash","1","Nam2/inanimate07a.jpg",3,"right","right",1,0.987170400010655,220,"nam","RT"
"hall","2","Nam2/inanimate01.jpg",3,"left","left",1,0.75461129998439,220,"nam","RT"
"poet","2","Nam2/inanimate01b.jpg",3,"right","left",0,1.80451059999177,220,"nam","RS"
"symbol","2","Unn2/abstract05.jpg",3,"left","right",0,1.81860200001393,220,"unn","RT"
"cuisine","3","Unn2/abstract09b.jpg",3,"left","left",1,0.760999100020854,220,"unn","RS"
"kingdom","1","Nam2/inanimate07c.jpg",3,"left","right",0,1.55493280000519,220,"nam","RS"
"device","2","Unn2/abstract05c.jpg",3,"right","right",1,1.93724600001588,220,"unn","RS"
"team","1","Unn2/abstract05a.jpg",3,"left","right",0,1.96943230001489,220,"unn","RT"
"patient","None","Nam2/inanimate09c.jpg",4,"right","right",1,1.54175639999448,220,"nam","RS"
"flight","2","Nam2/inanimate05.jpg",4,"right","left",0,1.72594870001194,220,"nam","RT"
"word","1","Nam2/inanimate05c.jpg",4,"left","left",1,2.96718090001377,220,"nam","RS"
"lottery","1","Unn2/abstract08b.jpg",4,"right","right",1,1.09421159999329,220,"unn","RS"
"leader","2","Unn2/abstract08a.jpg",4,"left","left",1,1.09475590000511,220,"unn","RT"
"fighter","1","Nam2/inanimate09a.jpg",4,"left","right",0,0.8697106000036,220,"nam","RT"
"wrapper","2","Unn2/abstract02.jpg",4,"right","right",1,0.981437800015556,220,"unn","RT"
"reward","2","Unn2/abstract08c.jpg",4,"right","right",1,0.74856439998257,220,"unn","RS"
"holiday","2","Nam2/inanimate05a.jpg",4,"right","right",1,1.27687860000879,220,"nam","RT"
"novel","1","Unn2/abstract02b.jpg",4,"left","right",0,0.933992000005674,220,"unn","RS"
"aunt","1","Nam2/inanimate09b.jpg",4,"right","right",1,1.81888029997936,220,"nam","RS"
"beast","2","Nam2/inanimate05b.jpg",4,"left","right",0,1.58191909999005,220,"nam","RS"
"nature","None","Unn2/abstract02c.jpg",4,"left","right",0,2.26154189999215,220,"unn","RS"
"waist","2","Nam2/inanimate09.jpg",4,"left","left",1,1.74881640000967,220,"nam","RT"
"teacher","2","Unn2/abstract08.jpg",4,"left","right",0,2.33080179998069,220,"unn","RT"
"class","None","Unn2/abstract02a.jpg",4,"right","None",0,NA,220,"unn","RT"
"lyrics","2","Unn2/abstract01.jpg",5,"right","left",0,1.02543199999491,220,"unn","RT"
"event","2","Unn2/abstract01c.jpg",5,"left","left",1,1.41660820000106,220,"unn","RS"
"dresser","2","Unn2/abstract01a.jpg",5,"right","right",1,1.00830719998339,220,"unn","RT"
"thief","2","Unn2/abstract10.jpg",5,"left","right",0,2.81713019998278,220,"unn","RT"
"manager","2","Unn2/abstract10a.jpg",5,"left","right",0,2.16051909999806,220,"unn","RT"
"poetry","2","Nam2/inanimate02.jpg",5,"left","left",1,1.34461550001288,220,"nam","RT"
"vacuum","2","Nam2/inanimate04.jpg",5,"right","left",0,3.35209510001005,220,"nam","RT"
"advisor","3","Nam2/inanimate04a.jpg",5,"right","right",1,1.00711449998198,220,"nam","RT"
"nucleus","3","Unn2/abstract10c.jpg",5,"right","right",1,1.51265089999652,220,"unn","RS"
"note","2","Unn2/abstract01b.jpg",5,"left","right",0,1.20711879999726,220,"unn","RS"
"injury","1","Nam2/inanimate02a.jpg",5,"left","left",1,1.61634629999753,220,"nam","RT"
"lane","1","Nam2/inanimate02b.jpg",5,"right","right",1,1.63082489999942,220,"nam","RS"
"message","2","Nam2/inanimate02c.jpg",5,"right","left",0,1.4964226000011,220,"nam","RS"
"genes","2","Unn2/abstract10b.jpg",5,"right","right",1,1.25512370001525,220,"unn","RS"
"yeast","2","Nam2/inanimate04c.jpg",5,"left","left",1,2.68542900000466,220,"nam","RS"
"tourist","2","Nam2/inanimate04b.jpg",5,"left","left",1,1.38301290001255,220,"nam","RS"
