"current_ap","ap_key_test.keys","current_hp","block","intact","key_resp_2.keys","key_resp_2.corr","key_resp_2.rt","participant","nam_unn","rs_rt_n"
"drug",1,"UnnBuff2/abstractbuff02a.jpg",1,"left","right",0,0.496172099999967,252,"unn","RT"
"storage",1,"UnnBuff2/abstractbuff01b.jpg",1,"right","right",1,1.24052169999959,252,"unn","RS"
"frown",1,"namBuff2/inanibuff01b.jpg",1,"left","right",0,0.711568100000477,252,"nam","RS"
"writer",3,"namBuff2/inanibuff03a.jpg",1,"right","left",0,0.991501000000426,252,"nam","RT"
"mile",3,"namBuff2/inanibuff01c.jpg",1,"left","right",0,0.359107900000708,252,"nam","RS"
"inch",3,"UnnBuff2/abstractbuff02.jpg",1,"left","right",0,0.239481900000101,252,"unn","RT"
"shelter",1,"namBuff2/inanibuff03c.jpg",1,"left","right",0,0.272381300000234,252,"nam","RS"
"sports",1,"namBuff2/inanibuff03b.jpg",1,"left","right",0,0.310611400000198,252,"nam","RS"
"ledge",1,"namBuff2/inanibuff01a.jpg",1,"right","right",1,0.303279200000361,252,"nam","RT"
"jury",1,"namBuff2/inanibuff03.jpg",1,"right","right",1,1.35173570000006,252,"nam","RT"
"trench",1,"UnnBuff2/abstractbuff01.jpg",1,"left","left",1,1.74243970000043,252,"unn","RT"
"wind",3,"UnnBuff2/abstractbuff02c.jpg",1,"right","right",1,1.00809839999965,252,"unn","RS"
"product",1,"namBuff2/inanibuff01.jpg",1,"right","right",1,0.302280300000348,252,"nam","RT"
"waltz",1,"UnnBuff2/abstractbuff02b.jpg",1,"right","right",1,1.1272500999994,252,"unn","RS"
"avenue",1,"UnnBuff2/abstractbuff01c.jpg",1,"right","right",1,0.428995299999769,252,"unn","RS"
"voter",3,"UnnBuff2/abstractbuff01a.jpg",1,"left","right",0,1.0146165999995,252,"unn","RT"
"clan",1,"Nam2/inanimate08a.jpg",2,"left","right",0,1.26917420000063,252,"nam","RT"
"vitamin",3,"Unn2/abstract07a.jpg",2,"left","left",1,1.7620425999994,252,"unn","RT"
"movie",3,"Unn2/abstract06a.jpg",2,"right","right",1,1.02198589999898,252,"unn","RT"
"agent",1,"Unn2/abstract06b.jpg",2,"left","right",0,0.884614299999157,252,"unn","RS"
"perfume",1,"Unn2/abstract07b.jpg",2,"right","right",1,1.21239349999996,252,"unn","RS"
"breeze",1,"Nam2/inanimate08.jpg",2,"left","left",1,1.30690150000009,252,"nam","RT"
"rash",3,"Unn2/abstract06.jpg",2,"right","left",0,1.2283867999995,252,"unn","RT"
"hostage",1,"Nam2/inanimate08c.jpg",2,"right","right",1,0.891121799999382,252,"nam","RS"
"galaxy",1,"Unn2/abstract07.jpg",2,"left","left",1,1.0287055000008,252,"unn","RT"
"camp",3,"Nam2/inanimate06b.jpg",2,"left","left",1,1.7315724,252,"nam","RS"
"hippie",3,"Nam2/inanimate06c.jpg",2,"left","right",0,0.675833799999964,252,"nam","RS"
"data",1,"Nam2/inanimate08b.jpg",2,"right","right",1,2.03525629999967,252,"nam","RS"
"award",1,"Nam2/inanimate06.jpg",2,"right","right",1,1.47512649999953,252,"nam","RT"
"client",3,"Unn2/abstract06c.jpg",2,"left","right",0,0.45950029999949,252,"unn","RS"
"peer",3,"Nam2/inanimate06a.jpg",2,"right","left",0,1.41949480000039,252,"nam","RT"
"racket",1,"Unn2/abstract07c.jpg",2,"right","right",1,0.994150399999853,252,"unn","RS"
"saint",1,"Unn2/abstract09a.jpg",3,"right","right",1,0.911288799999966,252,"unn","RT"
"diploma",1,"Unn2/abstract09.jpg",3,"right","right",1,1.08730039999864,252,"unn","RT"
"brow",3,"Nam2/inanimate07b.jpg",3,"left","left",1,0.855763800000204,252,"nam","RS"
"jazz",1,"Unn2/abstract09c.jpg",3,"left","left",1,1.2060120999995,252,"unn","RS"
"scholar",1,"Nam2/inanimate01a.jpg",3,"left","left",1,1.31814549999945,252,"nam","RT"
"album",3,"Nam2/inanimate07.jpg",3,"right","right",1,1.23060860000078,252,"nam","RT"
"author",3,"Nam2/inanimate01c.jpg",3,"right","right",1,2.10274769999887,252,"nam","RS"
"comma",1,"Unn2/abstract05b.jpg",3,"right","right",1,1.19881549999991,252,"unn","RS"
"squash",3,"Nam2/inanimate07a.jpg",3,"right","right",1,1.07845280000038,252,"nam","RT"
"hall",2,"Nam2/inanimate01.jpg",3,"left","left",1,1.044185499999,252,"nam","RT"
"poet",2,"Nam2/inanimate01b.jpg",3,"right","left",0,1.24660060000133,252,"nam","RS"
"symbol",1,"Unn2/abstract05.jpg",3,"left","left",1,1.61317079999935,252,"unn","RT"
"cuisine",1,"Unn2/abstract09b.jpg",3,"left","right",0,1.38034660000085,252,"unn","RS"
"kingdom",3,"Nam2/inanimate07c.jpg",3,"left","left",1,0.493059299999004,252,"nam","RS"
"device",1,"Unn2/abstract05c.jpg",3,"right","right",1,1.34133440000005,252,"unn","RS"
"team",1,"Unn2/abstract05a.jpg",3,"left","left",1,0.869347100000596,252,"unn","RT"
"patient",1,"Nam2/inanimate09c.jpg",4,"right","right",1,1.76951410000038,252,"nam","RS"
"flight",1,"Nam2/inanimate05.jpg",4,"right","right",1,1.5834292999989,252,"nam","RT"
"word",1,"Nam2/inanimate05c.jpg",4,"left","left",1,1.59953870000027,252,"nam","RS"
"lottery",3,"Unn2/abstract08b.jpg",4,"right","right",1,1.20902139999998,252,"unn","RS"
"leader",1,"Unn2/abstract08a.jpg",4,"left","right",0,1.64103819999946,252,"unn","RT"
"fighter",1,"Nam2/inanimate09a.jpg",4,"left","left",1,1.22418570000082,252,"nam","RT"
"wrapper",3,"Unn2/abstract02.jpg",4,"right","left",0,1.23223250000046,252,"unn","RT"
"reward",3,"Unn2/abstract08c.jpg",4,"right","right",1,0.99811100000079,252,"unn","RS"
"holiday",3,"Nam2/inanimate05a.jpg",4,"right","right",1,1.20635100000072,252,"nam","RT"
"novel",1,"Unn2/abstract02b.jpg",4,"left","left",1,1.45460439999988,252,"unn","RS"
"aunt",1,"Nam2/inanimate09b.jpg",4,"right","right",1,1.66935130000093,252,"nam","RS"
"beast",1,"Nam2/inanimate05b.jpg",4,"left","right",0,1.13470989999951,252,"nam","RS"
"nature",3,"Unn2/abstract02c.jpg",4,"left","left",1,0.734689000000799,252,"unn","RS"
"waist",1,"Nam2/inanimate09.jpg",4,"left","left",1,0.991174200000387,252,"nam","RT"
"teacher",1,"Unn2/abstract08.jpg",4,"left","left",1,1.19621929999994,252,"unn","RT"
"class",1,"Unn2/abstract02a.jpg",4,"right","right",1,1.67198149999967,252,"unn","RT"
"lyrics",1,"Unn2/abstract01.jpg",5,"right","right",1,1.26605890000064,252,"unn","RT"
"event",1,"Unn2/abstract01c.jpg",5,"left","left",1,0.794904699998369,252,"unn","RS"
"dresser",1,"Unn2/abstract01a.jpg",5,"right","right",1,1.3055901000007,252,"unn","RT"
"thief",3,"Unn2/abstract10.jpg",5,"left","left",1,0.802223599999706,252,"unn","RT"
"manager",3,"Unn2/abstract10a.jpg",5,"left","left",1,0.914515899999969,252,"unn","RT"
"poetry",3,"Nam2/inanimate02.jpg",5,"left","right",0,1.88118089999989,252,"nam","RT"
"vacuum",1,"Nam2/inanimate04.jpg",5,"right","left",0,0.954552399998647,252,"nam","RT"
"advisor",1,"Nam2/inanimate04a.jpg",5,"right","right",1,0.873207800001182,252,"nam","RT"
"nucleus",1,"Unn2/abstract10c.jpg",5,"right","right",1,1.2899626999988,252,"unn","RS"
"note",1,"Unn2/abstract01b.jpg",5,"left","right",0,0.961596600000121,252,"unn","RS"
"injury",1,"Nam2/inanimate02a.jpg",5,"left","left",1,1.40137949999917,252,"nam","RT"
"lane",3,"Nam2/inanimate02b.jpg",5,"right","right",1,0.513210300001447,252,"nam","RS"
"message",1,"Nam2/inanimate02c.jpg",5,"right","right",1,1.09800859999996,252,"nam","RS"
"genes",3,"Unn2/abstract10b.jpg",5,"right","right",1,0.59320260000095,252,"unn","RS"
"yeast",1,"Nam2/inanimate04c.jpg",5,"left","left",1,1.13588700000037,252,"nam","RS"
"tourist",1,"Nam2/inanimate04b.jpg",5,"left","left",1,1.12058050000087,252,"nam","RS"
