current_apW,current_hpW,intactW,key_resp_9.keys,key_resp_9.corr,nam_unn,participant,rs_rt_n
Unn2/abstract04_ap.jpg,abstract04_hp.jpg,right,right,1,unn,710,ApRT
Unn2/abstract09b_ap.jpg,abstract09b_hp.jpg,right,right,1,unn,710,ApRS
Unn2/abstract09_ap.jpg,abstract09a_hp.jpg,left,left,1,unn,710,ApRT
Nam2/inanimate09c_ap.jpg,inanimate09c_hp.jpg,right,right,1,nam,710,ApRS
Unn2/abstract09c_ap.jpg,abstract09c_hp.jpg,right,right,1,unn,710,ApRS
Nam2/inanimate10c_ap.jpg,inanimate10b_hp.jpg,left,left,1,nam,710,ApRS
Unn2/abstract04c_ap.jpg,abstract04b_hp.jpg,left,left,1,unn,710,ApRS
Nam2/inanimate09_ap.jpg,inanimate09_hp.jpg,right,right,1,nam,710,ApRT
Nam2/inanimate10_ap.jpg,inanimate10a_hp.jpg,left,left,1,nam,710,ApRT
Nam2/inanimate10b_ap.jpg,inanimate10c_hp.jpg,left,left,1,nam,710,ApRS
Nam2/inanimate09b_ap.jpg,inanimate09b_hp.jpg,right,right,1,nam,710,ApRS
Unn2/abstract04b_ap.jpg,abstract04c_hp.jpg,left,left,1,unn,710,ApRS
Unn2/abstract04a_ap.jpg,abstract04a_hp.jpg,right,right,1,unn,710,ApRT
Nam2/inanimate09a_ap.jpg,inanimate09a_hp.jpg,right,right,1,nam,710,ApRT
Unn2/abstract09a_ap.jpg,abstract09_hp.jpg,left,left,1,unn,710,ApRT
Nam2/inanimate10a_ap.jpg,inanimate10_hp.jpg,left,left,1,nam,710,ApRT
Unn2/abstract02_ap.jpg,abstract02_hp.jpg,right,right,1,unn,710,ApRT
Unn2/abstract05b_ap.jpg,abstract05b_hp.jpg,right,right,1,unn,710,ApRS
Unn2/abstract05_ap.jpg,abstract05a_hp.jpg,left,left,1,unn,710,ApRT
Nam2/inanimate06c_ap.jpg,inanimate06c_hp.jpg,right,right,1,nam,710,ApRS
Unn2/abstract05c_ap.jpg,abstract05c_hp.jpg,right,right,1,unn,710,ApRS
Nam2/inanimate01c_ap.jpg,inanimate01b_hp.jpg,left,right,0,nam,710,ApRS
Unn2/abstract02c_ap.jpg,abstract02b_hp.jpg,left,left,1,unn,710,ApRS
Nam2/inanimate06_ap.jpg,inanimate06_hp.jpg,right,right,1,nam,710,ApRT
Nam2/inanimate01_ap.jpg,inanimate01a_hp.jpg,left,left,1,nam,710,ApRT
Nam2/inanimate01b_ap.jpg,inanimate01c_hp.jpg,left,left,1,nam,710,ApRS
Nam2/inanimate06b_ap.jpg,inanimate06b_hp.jpg,right,right,1,nam,710,ApRS
Unn2/abstract02b_ap.jpg,abstract02c_hp.jpg,left,right,0,unn,710,ApRS
Unn2/abstract02a_ap.jpg,abstract02a_hp.jpg,right,right,1,unn,710,ApRT
Nam2/inanimate06a_ap.jpg,inanimate06a_hp.jpg,right,right,1,nam,710,ApRT
Unn2/abstract05a_ap.jpg,abstract05_hp.jpg,left,left,1,unn,710,ApRT
Nam2/inanimate01a_ap.jpg,inanimate01_hp.jpg,left,left,1,nam,710,ApRT
Unn2/abstract07_ap.jpg,abstract07a_hp.jpg,left,left,1,unn,710,ApRT
Unn2/abstract06b_ap.jpg,abstract06c_hp.jpg,left,left,1,unn,710,ApRS
Unn2/abstract06_ap.jpg,abstract06_hp.jpg,right,right,1,unn,710,ApRT
Nam2/inanimate04c_ap.jpg,inanimate04b_hp.jpg,left,right,0,nam,710,ApRS
Unn2/abstract06c_ap.jpg,abstract06b_hp.jpg,left,left,1,unn,710,ApRS
Nam2/inanimate02c_ap.jpg,inanimate02c_hp.jpg,right,right,1,nam,710,ApRS
Unn2/abstract07c_ap.jpg,abstract07c_hp.jpg,right,right,1,unn,710,ApRS
Nam2/inanimate04_ap.jpg,inanimate04a_hp.jpg,left,left,1,nam,710,ApRT
Nam2/inanimate02_ap.jpg,inanimate02_hp.jpg,right,right,1,nam,710,ApRT
Nam2/inanimate02b_ap.jpg,inanimate02b_hp.jpg,right,right,1,nam,710,ApRS
Nam2/inanimate04b_ap.jpg,inanimate04c_hp.jpg,left,left,1,nam,710,ApRS
Unn2/abstract07b_ap.jpg,abstract07b_hp.jpg,right,right,1,unn,710,ApRS
Unn2/abstract07a_ap.jpg,abstract07_hp.jpg,left,right,0,unn,710,ApRT
Nam2/inanimate04a_ap.jpg,inanimate04_hp.jpg,left,left,1,nam,710,ApRT
Unn2/abstract06a_ap.jpg,abstract06a_hp.jpg,right,right,1,unn,710,ApRT
Nam2/inanimate02a_ap.jpg,inanimate02a_hp.jpg,right,left,0,nam,710,ApRT
