current_ap,current_hp,intact,key_resp_9.keys,key_resp_9.corr,nam_unn,participant,rs_rt_n
Unn2/abstract04_ap.jpg,abstract04_hp.jpg,right,right,1,unn,757,ApRS
Unn2/abstract08_ap.jpg,abstract08a_hp.jpg,left,left,1,unn,757,ApRS
Nam2/inanimate05b_ap.jpg,inanimate05c_hp.jpg,left,left,1,nam,757,ApRT
Nam2/inanimate08c_ap.jpg,inanimate08c_hp.jpg,right,right,1,nam,757,ApRT
Nam2/inanimate05c_ap.jpg,inanimate05b_hp.jpg,left,left,1,nam,757,ApRT
Unn2/abstract04c_ap.jpg,abstract04b_hp.jpg,left,left,1,unn,757,ApRT
Nam2/inanimate08_ap.jpg,inanimate08_hp.jpg,right,right,1,nam,757,ApRS
Nam2/inanimate08b_ap.jpg,inanimate08b_hp.jpg,right,right,1,nam,757,ApRT
Unn2/abstract04a_ap.jpg,abstract04a_hp.jpg,right,right,1,unn,757,ApRS
Unn2/abstract08b_ap.jpg,abstract08b_hp.jpg,right,right,1,unn,757,ApRT
Unn2/abstract04b_ap.jpg,abstract04c_hp.jpg,left,left,1,unn,757,ApRT
Nam2/inanimate08a_ap.jpg,inanimate08a_hp.jpg,right,right,1,nam,757,ApRS
Nam2/inanimate05_ap.jpg,inanimate05a_hp.jpg,left,left,1,nam,757,ApRS
Nam2/inanimate05a_ap.jpg,inanimate05_hp.jpg,left,left,1,nam,757,ApRS
Unn2/abstract08c_ap.jpg,abstract08c_hp.jpg,right,right,1,unn,757,ApRT
Unn2/abstract08a_ap.jpg,abstract08_hp.jpg,left,right,0,unn,757,ApRS
Unn2/abstract06_ap.jpg,abstract06_hp.jpg,right,right,1,unn,757,ApRS
Unn2/abstract03_ap.jpg,abstract03a_hp.jpg,left,right,0,unn,757,ApRS
Nam2/inanimate03b_ap.jpg,inanimate03c_hp.jpg,left,right,0,nam,757,ApRT
Nam2/inanimate02c_ap.jpg,inanimate02c_hp.jpg,right,right,1,nam,757,ApRT
Nam2/inanimate03c_ap.jpg,inanimate03b_hp.jpg,left,left,1,nam,757,ApRT
Unn2/abstract06c_ap.jpg,abstract06b_hp.jpg,left,left,1,unn,757,ApRT
Nam2/inanimate02_ap.jpg,inanimate02_hp.jpg,right,right,1,nam,757,ApRS
Nam2/inanimate02b_ap.jpg,inanimate02b_hp.jpg,right,right,1,nam,757,ApRT
Unn2/abstract06a_ap.jpg,abstract06a_hp.jpg,right,right,1,unn,757,ApRS
Unn2/abstract03b_ap.jpg,abstract03b_hp.jpg,right,right,1,unn,757,ApRT
Unn2/abstract06b_ap.jpg,abstract06c_hp.jpg,left,left,1,unn,757,ApRT
Nam2/inanimate02a_ap.jpg,inanimate02a_hp.jpg,right,right,1,nam,757,ApRS
Nam2/inanimate03_ap.jpg,inanimate03a_hp.jpg,left,left,1,nam,757,ApRS
Nam2/inanimate03a_ap.jpg,inanimate03_hp.jpg,left,left,1,nam,757,ApRS
Unn2/abstract03c_ap.jpg,abstract03c_hp.jpg,right,right,1,unn,757,ApRT
Unn2/abstract03a_ap.jpg,abstract03_hp.jpg,left,right,0,unn,757,ApRS
Unn2/abstract09_ap.jpg,abstract09a_hp.jpg,left,left,1,unn,757,ApRS
Unn2/abstract02_ap.jpg,abstract02_hp.jpg,right,right,1,unn,757,ApRS
Nam2/inanimate10b_ap.jpg,inanimate10b_hp.jpg,right,right,1,nam,757,ApRT
Nam2/inanimate07c_ap.jpg,inanimate07b_hp.jpg,left,left,1,nam,757,ApRT
Nam2/inanimate10c_ap.jpg,inanimate10c_hp.jpg,right,right,1,nam,757,ApRT
Unn2/abstract09c_ap.jpg,abstract09c_hp.jpg,right,right,1,unn,757,ApRT
Nam2/inanimate07_ap.jpg,inanimate07a_hp.jpg,left,left,1,nam,757,ApRS
Nam2/inanimate07b_ap.jpg,inanimate07c_hp.jpg,left,left,1,nam,757,ApRT
Unn2/abstract09a_ap.jpg,abstract09_hp.jpg,left,left,1,unn,757,ApRS
Unn2/abstract02b_ap.jpg,abstract02c_hp.jpg,left,left,1,unn,757,ApRT
Unn2/abstract09b_ap.jpg,abstract09b_hp.jpg,right,right,1,unn,757,ApRT
Nam2/inanimate07a_ap.jpg,inanimate07_hp.jpg,left,left,1,nam,757,ApRS
Nam2/inanimate10_ap.jpg,inanimate10_hp.jpg,right,right,1,nam,757,ApRS
Nam2/inanimate10a_ap.jpg,inanimate10a_hp.jpg,right,right,1,nam,757,ApRS
Unn2/abstract02c_ap.jpg,abstract02b_hp.jpg,left,right,0,unn,757,ApRT
Unn2/abstract02a_ap.jpg,abstract02a_hp.jpg,right,right,1,unn,757,ApRS
