"current_ap","ap_key_test.keys","current_hp","block","intact","key_resp_2.keys","key_resp_2.corr","key_resp_2.rt","participant","nam_unn","rs_rt_n"
"inch","2","UnnBuff2/abstractbuff01a.jpg",1,"left","right",0,0.857132300001467,217,"unn","RS"
"avenue","2","UnnBuff2/abstractbuff02b.jpg",1,"right","right",1,0.800624600000447,217,"unn","RT"
"trench","2","namBuff2/inanibuff03b.jpg",1,"left","right",0,0.6797547999995,217,"nam","RT"
"voter","2","namBuff2/inanibuff01a.jpg",1,"right","right",1,0.415496399999029,217,"nam","RS"
"drug","1","namBuff2/inanibuff03c.jpg",1,"left","right",0,1.68939940000018,217,"nam","RT"
"sports","2","UnnBuff2/abstractbuff01.jpg",1,"left","right",0,0.401049400001284,217,"unn","RS"
"storage","1","namBuff2/inanibuff01c.jpg",1,"left","right",0,0.951907199998459,217,"nam","RT"
"ledge","1","namBuff2/inanibuff01b.jpg",1,"left","left",1,1.34426590000112,217,"nam","RT"
"shelter","1","namBuff2/inanibuff03a.jpg",1,"right","left",0,1.55220550000013,217,"nam","RS"
"mile","2","namBuff2/inanibuff01.jpg",1,"right","left",0,0.887515899999926,217,"nam","RS"
"jury","1","UnnBuff2/abstractbuff02.jpg",1,"left","right",0,0.455985799999326,217,"unn","RS"
"writer","1","UnnBuff2/abstractbuff01c.jpg",1,"right","right",1,1.10273869999946,217,"unn","RT"
"frown","2","namBuff2/inanibuff03.jpg",1,"right","right",1,1.38531870000043,217,"nam","RS"
"product","2","UnnBuff2/abstractbuff01b.jpg",1,"right","right",1,0.743278899999495,217,"unn","RT"
"wind","1","UnnBuff2/abstractbuff02c.jpg",1,"right","right",1,0.57635879999907,217,"unn","RT"
"waltz","2","UnnBuff2/abstractbuff02a.jpg",1,"left","right",0,0.806765100000121,217,"unn","RS"
"perfume","2","Nam2/inanimate08a.jpg",2,"left","right",0,1.6288156999999,217,"nam","RS"
"class","1","Unn2/abstract07a.jpg",2,"left","left",1,1.71706859999904,217,"unn","RS"
"vacuum","2","Unn2/abstract06a.jpg",2,"right","right",1,0.790236499999082,217,"unn","RS"
"camp","1","Unn2/abstract06b.jpg",2,"left","left",1,1.31824050000068,217,"unn","RT"
"peer","1","Unn2/abstract07b.jpg",2,"right","right",1,0.342265499999485,217,"unn","RT"
