"current_ap","ap_key_test.keys","current_hp","block","intact","key_resp_2.keys","key_resp_2.corr","key_resp_2.rt","participant","nam_unn","rs_rt_n"
"storage",2,"UnnBuff2/abstractbuff02a.jpg",1,"left","right",0,2.01575270108879,239,"unn","RS"
"jury",2,"UnnBuff2/abstractbuff01b.jpg",1,"right","right",1,0.897072499617934,239,"unn","RT"
"wind",3,"namBuff2/inanibuff03b.jpg",1,"left","left",1,1.96865699999034,239,"nam","RT"
"drug",3,"namBuff2/inanibuff01a.jpg",1,"right","right",1,0.95904210023582,239,"nam","RS"
"mile",2,"namBuff2/inanibuff03c.jpg",1,"left","right",0,0.712627900764346,239,"nam","RT"
"product",3,"UnnBuff2/abstractbuff02.jpg",1,"left","left",1,1.33609140105546,239,"unn","RS"
"waltz",2,"namBuff2/inanibuff01c.jpg",1,"left","right",0,1.07951349951327,239,"nam","RT"
"shelter",1,"namBuff2/inanibuff01b.jpg",1,"left","right",0,1.7928174007684,239,"nam","RT"
"ledge",3,"namBuff2/inanibuff03a.jpg",1,"right","right",1,0.680410599336028,239,"nam","RS"
"writer",1,"namBuff2/inanibuff01.jpg",1,"right","right",1,1.35077410005033,239,"nam","RS"
"frown",1,"UnnBuff2/abstractbuff01.jpg",1,"left","left",1,1.56748439930379,239,"unn","RS"
"sports",2,"UnnBuff2/abstractbuff02c.jpg",1,"right","right",1,0.903171500191092,239,"unn","RT"
"voter",3,"namBuff2/inanibuff03.jpg",1,"right","right",1,0.80784310027957,239,"nam","RS"
"inch",3,"UnnBuff2/abstractbuff02b.jpg",1,"right","right",1,0.855513099581003,239,"unn","RT"
"avenue",2,"UnnBuff2/abstractbuff01c.jpg",1,"right","right",1,1.30230600014329,239,"unn","RT"
"trench",1,"UnnBuff2/abstractbuff01a.jpg",1,"left","right",0,1.86314399912953,239,"unn","RS"
"clan",2,"Nam2/inanimate08a.jpg",2,"left","left",1,1.21747319959104,239,"nam","RS"
"vitamin",3,"Unn2/abstract07a.jpg",2,"left","left",1,0.713220400735736,239,"unn","RS"
"movie",3,"Unn2/abstract06a.jpg",2,"right","right",1,1.25732450000942,239,"unn","RS"
"agent",3,"Unn2/abstract06b.jpg",2,"left","left",1,0.85776980035007,239,"unn","RT"
"perfume",3,"Unn2/abstract07b.jpg",2,"right","right",1,0.719827901571989,239,"unn","RT"
"breeze",2,"Nam2/inanimate08.jpg",2,"left","left",1,1.48887979984283,239,"nam","RS"
"rash",3,"Unn2/abstract06.jpg",2,"right","right",1,0.568690599873662,239,"unn","RS"
"hostage",3,"Nam2/inanimate08c.jpg",2,"right","right",1,0.672032598406076,239,"nam","RT"
"galaxy",3,"Unn2/abstract07.jpg",2,"left","left",1,1.16706939972937,239,"unn","RS"
"camp",2,"Nam2/inanimate06b.jpg",2,"left","left",1,0.952463399618864,239,"nam","RT"
"hippie",3,"Nam2/inanimate06c.jpg",2,"left","left",1,0.920573901385069,239,"nam","RT"
"data",3,"Nam2/inanimate08b.jpg",2,"right","right",1,1.20687600038946,239,"nam","RT"
"award",2,"Nam2/inanimate06.jpg",2,"right","right",1,1.17494709976017,239,"nam","RS"
"client",1,"Unn2/abstract06c.jpg",2,"left","left",1,0.880491100251675,239,"unn","RT"
"peer",3,"Nam2/inanimate06a.jpg",2,"right","right",1,0.790590301156044,239,"nam","RS"
"racket",2,"Unn2/abstract07c.jpg",2,"right","None",0,NA,239,"unn","RT"
"saint",2,"Unn2/abstract09a.jpg",3,"right","right",1,1.15916069969535,239,"unn","RS"
"diploma",3,"Unn2/abstract09.jpg",3,"right","right",1,0.869975101202726,239,"unn","RS"
"brow",3,"Nam2/inanimate07b.jpg",3,"left","left",1,0.82212589867413,239,"nam","RT"
