"current_ap","ap_key_test.keys","current_hp","block","intact","key_resp_2.keys","key_resp_2.corr","key_resp_2.rt","participant","nam_unn","rs_rt_n"
"jury","1","UnnBuff2/abstractbuff01a.jpg",1,"left","left",1,1.8703279,213,"unn","RS"
"ledge","1","UnnBuff2/abstractbuff02b.jpg",1,"right","right",1,1.7343515,213,"unn","RT"
"voter","2","namBuff2/inanibuff01b.jpg",1,"left","left",1,0.9428353,213,"nam","RT"
"trench","2","namBuff2/inanibuff03a.jpg",1,"right","left",0,1.4301806,213,"nam","RS"
"avenue","3","namBuff2/inanibuff01c.jpg",1,"left","left",1,1.0781679,213,"nam","RT"
"shelter","2","UnnBuff2/abstractbuff01.jpg",1,"left","left",1,1.2381233,213,"unn","RS"
"product","1","namBuff2/inanibuff03c.jpg",1,"left","left",1,1.877697,213,"nam","RT"
"drug","None","namBuff2/inanibuff03b.jpg",1,"left","right",0,0.7653973,213,"nam","RT"
"mile","3","namBuff2/inanibuff01a.jpg",1,"right","left",0,0.8143323,213,"nam","RS"
"frown","2","namBuff2/inanibuff03.jpg",1,"right","left",0,0.7254632,213,"nam","RS"
"writer","2","UnnBuff2/abstractbuff02.jpg",1,"left","left",1,2.4696677,213,"unn","RS"
"inch","1","UnnBuff2/abstractbuff01c.jpg",1,"right","right",1,1.149796,213,"unn","RT"
"storage","3","namBuff2/inanibuff01.jpg",1,"right","left",0,0.9161788,213,"nam","RS"
"waltz","2","UnnBuff2/abstractbuff01b.jpg",1,"right","right",1,0.8301516,213,"unn","RT"
"sports","1","UnnBuff2/abstractbuff02c.jpg",1,"right","right",1,1.0835359,213,"unn","RT"
"wind","1","UnnBuff2/abstractbuff02a.jpg",1,"left","left",1,1.1256804,213,"unn","RS"
"perfume","1","Nam2/inanimate08a.jpg",2,"left","right",0,1.2303074,213,"nam","RS"
"class","1","Unn2/abstract07a.jpg",2,"left","left",1,1.6003705,213,"unn","RS"
"vacuum","2","Unn2/abstract06a.jpg",2,"right","right",1,0.7123193,213,"unn","RS"
