"current_ap","ap_key_test.keys","current_hp","block","intact","key_resp_2.keys","key_resp_2.corr","key_resp_2.rt","participant","nam_unn","rs_rt_n"
"waltz","3","UnnBuff2/abstractbuff01a.jpg",1,"left","left",1,2.98006770014763,209,"unn","RS"
"shelter","None","UnnBuff2/abstractbuff02b.jpg",1,"right","right",1,2.05930279986933,209,"unn","RT"
"ledge","2","namBuff2/inanibuff03b.jpg",1,"left","left",1,0.506214400054887,209,"nam","RT"
"frown","2","namBuff2/inanibuff01a.jpg",1,"right","right",1,1.29008669988252,209,"nam","RS"
"storage","1","namBuff2/inanibuff03c.jpg",1,"left","left",1,0.99596230010502,209,"nam","RT"
"mile","2","UnnBuff2/abstractbuff01.jpg",1,"left","left",1,1.17813679995015,209,"unn","RS"
"sports","2","namBuff2/inanibuff01c.jpg",1,"left","left",1,1.74700980004855,209,"nam","RT"
"jury","2","namBuff2/inanibuff01b.jpg",1,"left","left",1,1.50588569999672,209,"nam","RT"
"writer","None","namBuff2/inanibuff03a.jpg",1,"right","left",0,1.05810900009237,209,"nam","RS"
"trench","2","namBuff2/inanibuff01.jpg",1,"right","left",0,2.0180476999376,209,"nam","RS"
"drug","1","UnnBuff2/abstractbuff02.jpg",1,"left","left",1,2.93763309996575,209,"unn","RS"
"voter","2","UnnBuff2/abstractbuff01c.jpg",1,"right","right",1,2.20872630015947,209,"unn","RT"
"inch","2","namBuff2/inanibuff03.jpg",1,"right","right",1,1.31425060005859,209,"nam","RS"
"product","1","UnnBuff2/abstractbuff01b.jpg",1,"right","right",1,1.30366869992577,209,"unn","RT"
"avenue","2","UnnBuff2/abstractbuff02c.jpg",1,"right","right",1,1.97726959991269,209,"unn","RT"
"wind","2","UnnBuff2/abstractbuff02a.jpg",1,"left","left",1,1.88823449984193,209,"unn","RS"
"perfume","2","Nam2/inanimate08a.jpg",2,"left","right",0,2.18950730003417,209,"nam","RS"
"class","2","Unn2/abstract07a.jpg",2,"left","left",1,1.95091759995557,209,"unn","RS"
"vacuum","2","Unn2/abstract06a.jpg",2,"right","right",1,1.37459139991552,209,"unn","RS"
"camp","3","Unn2/abstract06b.jpg",2,"left","left",1,0.557112399954349,209,"unn","RT"
"peer","2","Unn2/abstract07b.jpg",2,"right","right",1,1.82937210006639,209,"unn","RT"
"squash","1","Nam2/inanimate08.jpg",2,"left","right",0,1.61328369984403,209,"nam","RS"
"dresser","3","Unn2/abstract06.jpg",2,"right","right",1,1.68525020009838,209,"unn","RS"
"hippie","3","Nam2/inanimate08c.jpg",2,"right","right",1,1.04521519993432,209,"nam","RT"
"club","2","Unn2/abstract07.jpg",2,"left","left",1,1.09288200014271,209,"unn","RS"
"brow","2","Nam2/inanimate06b.jpg",2,"left","left",1,0.780741899972782,209,"nam","RT"
"fighter","2","Nam2/inanimate06c.jpg",2,"left","left",1,0.796333599835634,209,"nam","RT"
"estate","3","Nam2/inanimate08b.jpg",2,"right","right",1,0.829348400002345,209,"nam","RT"
"leader","2","Nam2/inanimate06.jpg",2,"right","right",1,1.65188260003924,209,"nam","RS"
"racket","2","Unn2/abstract06c.jpg",2,"left","left",1,1.20401489990763,209,"unn","RT"
"lane","1","Nam2/inanimate06a.jpg",2,"right","right",1,1.98847009986639,209,"nam","RS"
"genes","2","Unn2/abstract07c.jpg",2,"right","right",1,1.68409070000052,209,"unn","RT"
"teacher","None","Unn2/abstract09a.jpg",3,"right","right",1,1.74666519998573,209,"unn","RS"
"breeze","2","Unn2/abstract09.jpg",3,"right","right",1,0.644753300119191,209,"unn","RS"
"hostage","2","Nam2/inanimate07b.jpg",3,"left","left",1,1.78067369991913,209,"nam","RT"
