current_apW,current_hpW,intactW,key_resp_9.keys,key_resp_9.corr,nam_unn,participant,rs_rt_n
Nam2/inanimate02d_ap.jpg,inanimate02d_hp.jpg,right,right,1,nam,720,ApRT
Nam2/inanimate06d_ap.jpg,inanimate06e_hp.jpg,left,left,1,nam,720,ApRT
Unn2/abstract06g_ap.jpg,abstract06g_hp.jpg,right,right,1,unn,720,ApRS
Nam2/inanimate06g_ap.jpg,inanimate06f_hp.jpg,left,left,1,nam,720,ApRS
Nam2/inanimate02g_ap.jpg,inanimate02g_hp.jpg,right,right,1,nam,720,ApRS
Unn2/abstract02e_ap.jpg,abstract02e_hp.jpg,right,right,1,unn,720,ApRT
Nam2/inanimate06e_ap.jpg,inanimate06d_hp.jpg,left,left,1,nam,720,ApRT
Unn2/abstract06f_ap.jpg,abstract06f_hp.jpg,right,right,1,unn,720,ApRS
Unn2/abstract02f_ap.jpg,abstract02g_hp.jpg,left,left,1,unn,720,ApRS
Nam2/inanimate02f_ap.jpg,inanimate02f_hp.jpg,right,right,1,nam,720,ApRS
Unn2/abstract02g_ap.jpg,abstract02f_hp.jpg,left,left,1,unn,720,ApRS
Unn2/abstract02d_ap.jpg,abstract02d_hp.jpg,right,right,1,unn,720,ApRT
Nam2/inanimate02e_ap.jpg,inanimate02e_hp.jpg,right,right,1,nam,720,ApRT
Unn2/abstract06e_ap.jpg,abstract06d_hp.jpg,left,left,1,unn,720,ApRT
Nam2/inanimate06f_ap.jpg,inanimate06g_hp.jpg,left,left,1,nam,720,ApRS
Unn2/abstract06d_ap.jpg,abstract06e_hp.jpg,left,left,1,unn,720,ApRT
Nam2/inanimate05d_ap.jpg,inanimate05e_hp.jpg,left,left,1,nam,720,ApRT
Nam2/inanimate07d_ap.jpg,inanimate07e_hp.jpg,left,left,1,nam,720,ApRT
Unn2/abstract01g_ap.jpg,abstract01g_hp.jpg,right,right,1,unn,720,ApRS
Nam2/inanimate07g_ap.jpg,inanimate07f_hp.jpg,left,left,1,nam,720,ApRS
Nam2/inanimate05g_ap.jpg,inanimate05g_hp.jpg,right,right,1,nam,720,ApRS
Unn2/abstract04e_ap.jpg,abstract04e_hp.jpg,right,right,1,unn,720,ApRT
Nam2/inanimate07e_ap.jpg,inanimate07d_hp.jpg,left,left,1,nam,720,ApRT
Unn2/abstract01f_ap.jpg,abstract01f_hp.jpg,right,right,1,unn,720,ApRS
Unn2/abstract04f_ap.jpg,abstract04g_hp.jpg,left,left,1,unn,720,ApRS
Nam2/inanimate05f_ap.jpg,inanimate05f_hp.jpg,right,left,0,nam,720,ApRS
Unn2/abstract04g_ap.jpg,abstract04f_hp.jpg,left,left,1,unn,720,ApRS
Unn2/abstract04d_ap.jpg,abstract04d_hp.jpg,right,right,1,unn,720,ApRT
Nam2/inanimate05e_ap.jpg,inanimate05d_hp.jpg,left,left,1,nam,720,ApRT
Unn2/abstract01e_ap.jpg,abstract01d_hp.jpg,left,right,0,unn,720,ApRT
Nam2/inanimate07f_ap.jpg,inanimate07g_hp.jpg,left,right,0,nam,720,ApRS
Unn2/abstract01d_ap.jpg,abstract01e_hp.jpg,left,right,0,unn,720,ApRT
Nam2/inanimate04d_ap.jpg,inanimate04e_hp.jpg,left,left,1,nam,720,ApRT
Nam2/inanimate03d_ap.jpg,inanimate03d_hp.jpg,right,right,1,nam,720,ApRT
Unn2/abstract03g_ap.jpg,abstract03f_hp.jpg,left,right,0,unn,720,ApRS
Nam2/inanimate03g_ap.jpg,inanimate03g_hp.jpg,right,right,1,nam,720,ApRS
Nam2/inanimate04g_ap.jpg,inanimate04f_hp.jpg,left,left,1,nam,720,ApRS
Unn2/abstract07e_ap.jpg,abstract07d_hp.jpg,left,left,1,unn,720,ApRT
Nam2/inanimate03e_ap.jpg,inanimate03e_hp.jpg,right,left,0,nam,720,ApRT
Unn2/abstract03f_ap.jpg,abstract03g_hp.jpg,left,left,1,unn,720,ApRS
Unn2/abstract07f_ap.jpg,abstract07f_hp.jpg,right,right,1,unn,720,ApRS
Nam2/inanimate04f_ap.jpg,inanimate04g_hp.jpg,left,left,1,nam,720,ApRS
Unn2/abstract07g_ap.jpg,abstract07g_hp.jpg,right,right,1,unn,720,ApRS
Unn2/abstract07d_ap.jpg,abstract07e_hp.jpg,left,left,1,unn,720,ApRT
Nam2/inanimate04e_ap.jpg,inanimate04d_hp.jpg,left,left,1,nam,720,ApRT
Unn2/abstract03e_ap.jpg,abstract03e_hp.jpg,right,right,1,unn,720,ApRT
Nam2/inanimate03f_ap.jpg,inanimate03f_hp.jpg,right,right,1,nam,720,ApRS
Unn2/abstract03d_ap.jpg,abstract03d_hp.jpg,right,right,1,unn,720,ApRT
