"current_ap","ap_key_test.keys","current_hp","block","intact","key_resp_2.keys","key_resp_2.corr","key_resp_2.rt","participant","nam_unn","rs_rt_n"
"jury","1","UnnBuff2/abstractbuff02a.jpg",1,"left","left",1,1.93254560000787,235,"unn","RS"
"wind","1","UnnBuff2/abstractbuff01b.jpg",1,"right","left",0,1.11564760000329,235,"unn","RT"
"frown","1","namBuff2/inanibuff03b.jpg",1,"left","left",1,1.24198449999676,235,"nam","RT"
"writer","2","namBuff2/inanibuff01a.jpg",1,"right","right",1,1.21051290001196,235,"nam","RS"
"product","1","namBuff2/inanibuff03c.jpg",1,"left","right",0,1.32377789999009,235,"nam","RT"
"drug","1","UnnBuff2/abstractbuff02.jpg",1,"left","left",1,1.02665759999945,235,"unn","RS"
"ledge","1","namBuff2/inanibuff01c.jpg",1,"left","left",1,2.70679409999866,235,"nam","RT"
"voter","1","namBuff2/inanibuff01b.jpg",1,"left","right",0,1.81073440000182,235,"nam","RT"
"trench","1","namBuff2/inanibuff03a.jpg",1,"right","right",1,1.33003519999329,235,"nam","RS"
"storage","1","namBuff2/inanibuff01.jpg",1,"right","left",0,1.41118930000812,235,"nam","RS"
"avenue","1","UnnBuff2/abstractbuff01.jpg",1,"left","right",0,1.47501339999144,235,"unn","RS"
"sports","1","UnnBuff2/abstractbuff02c.jpg",1,"right","right",1,1.34577610000269,235,"unn","RT"
"mile","1","namBuff2/inanibuff03.jpg",1,"right","right",1,0.844531499998993,235,"nam","RS"
"inch","1","UnnBuff2/abstractbuff02b.jpg",1,"right","right",1,0.665538400004152,235,"unn","RT"
"shelter","1","UnnBuff2/abstractbuff01c.jpg",1,"right","left",0,0.961968399991747,235,"unn","RT"
"waltz","1","UnnBuff2/abstractbuff01a.jpg",1,"left","left",1,1.39390559999447,235,"unn","RS"
"clan","2","Nam2/inanimate08a.jpg",2,"left","right",0,1.30124809998961,235,"nam","RS"
"vitamin","1","Unn2/abstract07a.jpg",2,"left","left",1,2.47647720000532,235,"unn","RS"
"movie","2","Unn2/abstract06a.jpg",2,"right","right",1,0.917885100003332,235,"unn","RS"
"agent","1","Unn2/abstract06b.jpg",2,"left","left",1,2.66182500000286,235,"unn","RT"
"perfume","2","Unn2/abstract07b.jpg",2,"right","right",1,1.10881089999748,235,"unn","RT"
"breeze","1","Nam2/inanimate08.jpg",2,"left","None",0,NA,235,"nam","RS"
"rash","3","Unn2/abstract06.jpg",2,"right","right",1,0.948439300002065,235,"unn","RS"
"hostage","2","Nam2/inanimate08c.jpg",2,"right","right",1,1.34017060000042,235,"nam","RT"
"galaxy","2","Unn2/abstract07.jpg",2,"left","left",1,2.11616659999709,235,"unn","RS"
"camp","2","Nam2/inanimate06b.jpg",2,"left","left",1,1.59660950000398,235,"nam","RT"
"hippie","3","Nam2/inanimate06c.jpg",2,"left","left",1,1.06025009999576,235,"nam","RT"
"data","3","Nam2/inanimate08b.jpg",2,"right","right",1,1.05969059999916,235,"nam","RT"
"award","2","Nam2/inanimate06.jpg",2,"right","right",1,1.32496430000174,235,"nam","RS"
"client","2","Unn2/abstract06c.jpg",2,"left","right",0,3.22064690000843,235,"unn","RT"
"peer","2","Nam2/inanimate06a.jpg",2,"right","right",1,1.37927540000237,235,"nam","RS"
"racket","1","Unn2/abstract07c.jpg",2,"right","right",1,2.13203659999999,235,"unn","RT"
"saint","2","Unn2/abstract09a.jpg",3,"right","right",1,1.60619029999361,235,"unn","RS"
"diploma","2","Unn2/abstract09.jpg",3,"right","right",1,1.95841870000004,235,"unn","RS"
"brow","2","Nam2/inanimate07b.jpg",3,"left","left",1,0.942146899993531,235,"nam","RT"
"jazz","3","Unn2/abstract09c.jpg",3,"left","left",1,0.765324200008763,235,"unn","RT"
"scholar","1","Nam2/inanimate01a.jpg",3,"left","left",1,2.31740529999661,235,"nam","RS"
"album","2","Nam2/inanimate07.jpg",3,"right","right",1,1.12664469999436,235,"nam","RS"
"author","2","Nam2/inanimate01c.jpg",3,"right","right",1,1.30068390000088,235,"nam","RT"
"comma","2","Unn2/abstract05b.jpg",3,"right","right",1,0.837991200009128,235,"unn","RT"
"squash","3","Nam2/inanimate07a.jpg",3,"right","right",1,0.493898500004434,235,"nam","RS"
"hall","1","Nam2/inanimate01.jpg",3,"left","left",1,1.26116530000581,235,"nam","RS"
"poet","1","Nam2/inanimate01b.jpg",3,"right","left",0,1.77312089999032,235,"nam","RT"
"symbol","2","Unn2/abstract05.jpg",3,"left","left",1,1.11022669999511,235,"unn","RS"
"cuisine","3","Unn2/abstract09b.jpg",3,"left","left",1,0.917235999993864,235,"unn","RT"
"kingdom","3","Nam2/inanimate07c.jpg",3,"left","left",1,1.41343810000399,235,"nam","RT"
"device","2","Unn2/abstract05c.jpg",3,"right","right",1,0.820222400012426,235,"unn","RT"
"team","1","Unn2/abstract05a.jpg",3,"left","left",1,1.98010959998646,235,"unn","RS"
"patient","2","Nam2/inanimate09c.jpg",4,"right","left",0,1.62641179999628,235,"nam","RT"
"flight","1","Nam2/inanimate05.jpg",4,"right","right",1,1.25115190001088,235,"nam","RS"
"word","2","Nam2/inanimate05c.jpg",4,"left","left",1,0.874516500000027,235,"nam","RT"
"lottery","3","Unn2/abstract08b.jpg",4,"right","right",1,0.650165000013658,235,"unn","RT"
"leader","1","Unn2/abstract08a.jpg",4,"left","left",1,1.01758010000049,235,"unn","RS"
"fighter","1","Nam2/inanimate09a.jpg",4,"left","left",1,1.45778419999988,235,"nam","RS"
"wrapper","3","Unn2/abstract02.jpg",4,"right","right",1,2.76786370000627,235,"unn","RS"
"reward","2","Unn2/abstract08c.jpg",4,"right","right",1,1.1761977999995,235,"unn","RT"
"holiday","1","Nam2/inanimate05a.jpg",4,"right","right",1,0.607623000003514,235,"nam","RS"
"novel","2","Unn2/abstract02b.jpg",4,"left","left",1,2.00113279999641,235,"unn","RT"
"aunt","2","Nam2/inanimate09b.jpg",4,"right","right",1,0.991947899994557,235,"nam","RT"
"beast","None","Nam2/inanimate05b.jpg",4,"left","left",1,1.16094499999599,235,"nam","RT"
"nature","2","Unn2/abstract02c.jpg",4,"left","left",1,1.78447840000445,235,"unn","RT"
"waist","3","Nam2/inanimate09.jpg",4,"left","left",1,0.99983770000108,235,"nam","RS"
"teacher","3","Unn2/abstract08.jpg",4,"left","left",1,1.18970050000644,235,"unn","RS"
"class","1","Unn2/abstract02a.jpg",4,"right","right",1,1.56025530000625,235,"unn","RS"
"lyrics","3","Unn2/abstract01.jpg",5,"right","None",0,NA,235,"unn","RS"
"event","None","Unn2/abstract01c.jpg",5,"left","None",0,NA,235,"unn","RT"
"dresser","2","Unn2/abstract01a.jpg",5,"right","None",0,NA,235,"unn","RS"
"thief","None","Unn2/abstract10.jpg",5,"left","None",0,NA,235,"unn","RS"
"manager","None","Unn2/abstract10a.jpg",5,"left","None",0,NA,235,"unn","RS"
"poetry","1","Nam2/inanimate02.jpg",5,"left","None",0,NA,235,"nam","RS"
"vacuum","2","Nam2/inanimate04.jpg",5,"right","right",1,1.6485934999946,235,"nam","RS"
"advisor","1","Nam2/inanimate04a.jpg",5,"right","right",1,2.07225509999262,235,"nam","RS"
"nucleus","2","Unn2/abstract10c.jpg",5,"right","right",1,2.89042799999879,235,"unn","RT"
"note","None","Unn2/abstract01b.jpg",5,"left","None",0,NA,235,"unn","RT"
"injury","3","Nam2/inanimate02a.jpg",5,"left","None",0,NA,235,"nam","RS"
"lane","2","Nam2/inanimate02b.jpg",5,"right","None",0,NA,235,"nam","RT"
"message","None","Nam2/inanimate02c.jpg",5,"right","None",0,NA,235,"nam","RT"
"genes","None","Unn2/abstract10b.jpg",5,"right","None",0,NA,235,"unn","RT"
"yeast","None","Nam2/inanimate04c.jpg",5,"left","None",0,NA,235,"nam","RT"
"tourist","None","Nam2/inanimate04b.jpg",5,"left","None",0,NA,235,"nam","RT"
