"current_ap","ap_key_test.keys","current_hp","block","intact","key_resp_2.keys","key_resp_2.corr","key_resp_2.rt","participant","nam_unn","rs_rt_n"
"drug",1,"UnnBuff2/abstractbuff01a.jpg",1,"left","left",1,2.7482938002795,251,"unn","RS"
"storage",1,"UnnBuff2/abstractbuff02b.jpg",1,"right","left",0,1.23657299950719,251,"unn","RT"
"trench",1,"namBuff2/inanibuff03b.jpg",1,"left","left",1,1.26018179953098,251,"nam","RT"
"jury",2,"namBuff2/inanibuff01a.jpg",1,"right","right",1,1.39539529941976,251,"nam","RS"
"ledge",1,"namBuff2/inanibuff03c.jpg",1,"left","left",1,1.20547330006957,251,"nam","RT"
"product",2,"UnnBuff2/abstractbuff01.jpg",1,"left","left",1,3.245102500543,251,"unn","RS"
"frown",1,"namBuff2/inanibuff01c.jpg",1,"left","left",1,0.900838900357485,251,"nam","RT"
"mile",1,"namBuff2/inanibuff01b.jpg",1,"left","left",1,1.08426269888878,251,"nam","RT"
"sports",1,"namBuff2/inanibuff03a.jpg",1,"right","right",1,0.707777800038457,251,"nam","RS"
"voter",1,"namBuff2/inanibuff01.jpg",1,"right","right",1,0.516998199746013,251,"nam","RS"
"writer",1,"UnnBuff2/abstractbuff02.jpg",1,"left","right",0,1.3719094004482,251,"unn","RS"
"inch",1,"UnnBuff2/abstractbuff01c.jpg",1,"right","right",1,1.02733779884875,251,"unn","RT"
"shelter",1,"namBuff2/inanibuff03.jpg",1,"right","right",1,0.909266401082277,251,"nam","RS"
"wind",1,"UnnBuff2/abstractbuff01b.jpg",1,"right","right",1,0.660063698887825,251,"unn","RT"
"avenue",1,"UnnBuff2/abstractbuff02c.jpg",1,"right","left",0,1.41920469887555,251,"unn","RT"
"waltz",1,"UnnBuff2/abstractbuff02a.jpg",1,"left","left",1,1.80329490080476,251,"unn","RS"
"clan",1,"Nam2/inanimate08a.jpg",2,"left","right",0,0.558479800820351,251,"nam","RS"
"vitamin",1,"Unn2/abstract07a.jpg",2,"left","left",1,1.66160790063441,251,"unn","RS"
"movie",1,"Unn2/abstract06a.jpg",2,"right","right",1,1.77404590137303,251,"unn","RS"
"agent",3,"Unn2/abstract06b.jpg",2,"left","left",1,0.806707199662924,251,"unn","RT"
"perfume",1,"Unn2/abstract07b.jpg",2,"right","right",1,0.870022799819708,251,"unn","RT"
"breeze",1,"Nam2/inanimate08.jpg",2,"left","left",1,1.16529910080135,251,"nam","RS"
"rash",1,"Unn2/abstract06.jpg",2,"right","right",1,2.61300119943917,251,"unn","RS"
"hostage",1,"Nam2/inanimate08c.jpg",2,"right","left",0,1.57254219986498,251,"nam","RT"
"galaxy",1,"Unn2/abstract07.jpg",2,"left","left",1,1.46053319983184,251,"unn","RS"
"camp",1,"Nam2/inanimate06b.jpg",2,"left","left",1,1.58805179968476,251,"nam","RT"
"hippie",1,"Nam2/inanimate06c.jpg",2,"left","left",1,1.19047559984028,251,"nam","RT"
"data",1,"Nam2/inanimate08b.jpg",2,"right","left",0,1.98895859904587,251,"nam","RT"
"award",1,"Nam2/inanimate06.jpg",2,"right","right",1,1.50876399874687,251,"nam","RS"
"client",3,"Unn2/abstract06c.jpg",2,"left","left",1,0.973256200551987,251,"unn","RT"
"peer",1,"Nam2/inanimate06a.jpg",2,"right","right",1,0.724651100113988,251,"nam","RS"
"racket",1,"Unn2/abstract07c.jpg",2,"right","right",1,2.03538670018315,251,"unn","RT"
"saint",1,"Unn2/abstract09a.jpg",3,"right","right",1,1.5267933011055,251,"unn","RS"
"diploma",1,"Unn2/abstract09.jpg",3,"right","left",0,2.87135750055313,251,"unn","RS"
"brow",1,"Nam2/inanimate07b.jpg",3,"left","left",1,0.719038099050522,251,"nam","RT"
"jazz",3,"Unn2/abstract09c.jpg",3,"left","left",1,0.80710949935019,251,"unn","RT"
"scholar",1,"Nam2/inanimate01a.jpg",3,"left","left",1,1.18204459920526,251,"nam","RS"
"album",1,"Nam2/inanimate07.jpg",3,"right","right",1,2.01577249914408,251,"nam","RS"
"author",2,"Nam2/inanimate01c.jpg",3,"right","right",1,0.871592799201608,251,"nam","RT"
"comma",2,"Unn2/abstract05b.jpg",3,"right","right",1,3.40639259852469,251,"unn","RT"
"squash",1,"Nam2/inanimate07a.jpg",3,"right","right",1,0.966104999184608,251,"nam","RS"
"hall",3,"Nam2/inanimate01.jpg",3,"left","left",1,0.757694600149989,251,"nam","RS"
"poet",1,"Nam2/inanimate01b.jpg",3,"right","right",1,0.59001929871738,251,"nam","RT"
"symbol",1,"Unn2/abstract05.jpg",3,"left","left",1,1.57465779967606,251,"unn","RS"
"cuisine",1,"Unn2/abstract09b.jpg",3,"left","left",1,0.917666399851441,251,"unn","RT"
"kingdom",3,"Nam2/inanimate07c.jpg",3,"left","left",1,0.766042100265622,251,"nam","RT"
"device",3,"Unn2/abstract05c.jpg",3,"right","right",1,0.53407059982419,251,"unn","RT"
"team",3,"Unn2/abstract05a.jpg",3,"left","left",1,1.22103589959443,251,"unn","RS"
"patient",1,"Nam2/inanimate09c.jpg",4,"right","right",1,2.68019160069525,251,"nam","RT"
"flight",1,"Nam2/inanimate05.jpg",4,"right","right",1,1.04764360003173,251,"nam","RS"
"word",1,"Nam2/inanimate05c.jpg",4,"left","left",1,2.15262390114367,251,"nam","RT"
"lottery",3,"Unn2/abstract08b.jpg",4,"right","right",1,0.575456799939275,251,"unn","RT"
"leader",1,"Unn2/abstract08a.jpg",4,"left","left",1,2.20690940134227,251,"unn","RS"
"fighter",3,"Nam2/inanimate09a.jpg",4,"left","left",1,0.90348669886589,251,"nam","RS"
"wrapper",3,"Unn2/abstract02.jpg",4,"right","right",1,0.854340700432658,251,"unn","RS"
"reward",3,"Unn2/abstract08c.jpg",4,"right","right",1,1.23871590010822,251,"unn","RT"
"holiday",1,"Nam2/inanimate05a.jpg",4,"right","right",1,1.71813900023699,251,"nam","RS"
"novel",1,"Unn2/abstract02b.jpg",4,"left","left",1,1.07950639910996,251,"unn","RT"
"aunt",1,"Nam2/inanimate09b.jpg",4,"right","right",1,1.38152430020273,251,"nam","RT"
"beast",1,"Nam2/inanimate05b.jpg",4,"left","right",0,2.49434899911284,251,"nam","RT"
"nature",1,"Unn2/abstract02c.jpg",4,"left","left",1,1.05500070005655,251,"unn","RT"
"waist",1,"Nam2/inanimate09.jpg",4,"left","left",1,0.653864098712802,251,"nam","RS"
"teacher",3,"Unn2/abstract08.jpg",4,"left","left",1,1.40626039914787,251,"unn","RS"
"class",1,"Unn2/abstract02a.jpg",4,"right","right",1,1.13477069884539,251,"unn","RS"
"lyrics",1,"Unn2/abstract01.jpg",5,"right","right",1,0.989282799884677,251,"unn","RS"
"event",1,"Unn2/abstract01c.jpg",5,"left","left",1,1.50333859957755,251,"unn","RT"
"dresser",1,"Unn2/abstract01a.jpg",5,"right","left",0,1.19042970053852,251,"unn","RS"
"thief",1,"Unn2/abstract10.jpg",5,"left","left",1,1.13432119973004,251,"unn","RS"
"manager",3,"Unn2/abstract10a.jpg",5,"left","left",1,1.13407810032368,251,"unn","RS"
"poetry",1,"Nam2/inanimate02.jpg",5,"left","left",1,1.70153219997883,251,"nam","RS"
"vacuum",1,"Nam2/inanimate04.jpg",5,"right","right",1,1.71713390015066,251,"nam","RS"
"advisor",1,"Nam2/inanimate04a.jpg",5,"right","right",1,2.02157199941576,251,"nam","RS"
"nucleus",3,"Unn2/abstract10c.jpg",5,"right","right",1,0.701914900913835,251,"unn","RT"
"note",1,"Unn2/abstract01b.jpg",5,"left","left",1,1.32542070001364,251,"unn","RT"
"injury",1,"Nam2/inanimate02a.jpg",5,"left","left",1,0.909133300185204,251,"nam","RS"
"lane",1,"Nam2/inanimate02b.jpg",5,"right","right",1,0.460667598992586,251,"nam","RT"
"message",1,"Nam2/inanimate02c.jpg",5,"right","right",1,1.26895350031555,251,"nam","RT"
"genes",1,"Unn2/abstract10b.jpg",5,"right","right",1,1.0055969003588,251,"unn","RT"
"yeast",1,"Nam2/inanimate04c.jpg",5,"left","left",1,1.09928959980607,251,"nam","RT"
"tourist",1,"Nam2/inanimate04b.jpg",5,"left","left",1,1.34068129956722,251,"nam","RT"
