"current_ap","current_hp","block","intact","nam_unn","rs_rt_n","key_resp_14.keys","key_resp_14.corr","participant"
"Nam2/inanimate01e_ap3.jpg","Nam2/inanimate01e_hp3.jpg",1,"right","nam","N","right",1,514
"Nam2/inanimate01a_ap3.jpg","Nam2/inanimate01a_hp3.jpg",1,"right","nam","RS","right",1,514
"Nam2/inanimate01c_ap3.jpg","Nam2/inanimate01b_hp3.jpg",1,"left","nam","RT","right",0,514
"Nam2/inanimate01b_ap3.jpg","Nam2/inanimate01c_hp3.jpg",1,"left","nam","RT","right",0,514
"unn2/abstract03_ap3.jpg","unn2/abstract03a_hp3.jpg",1,"left","unn","RS","right",0,514
"unn2/abstract03c_ap3.jpg","unn2/abstract03c_hp3.jpg",1,"right","unn","RT","right",1,514
"unn2/abstract03e_ap3.jpg","unn2/abstract03d_hp3.jpg",1,"left","unn","N","right",0,514
"unn2/abstract03b_ap3.jpg","unn2/abstract03b_hp3.jpg",1,"right","unn","RT","right",1,514
"unn2/abstract03a_ap3.jpg","unn2/abstract03_hp3.jpg",1,"left","unn","RS","left",1,514
"unn2/abstract03d_ap3.jpg","unn2/abstract03e_hp3.jpg",1,"left","unn","N","left",1,514
"Nam2/inanimate01d_ap3.jpg","Nam2/inanimate01d_hp3.jpg",1,"right","nam","N","right",1,514
"Nam2/inanimate01_ap3.jpg","Nam2/inanimate01_hp3.jpg",1,"right","nam","RS","right",1,514
"unn2/abstract03d_ap3.jpg","unn2/abstract03d_hp3.jpg",1,"right","unn","N","right",1,514
"Nam2/inanimate01e_ap3.jpg","Nam2/inanimate01d_hp3.jpg",1,"left","nam","N","right",0,514
"unn2/abstract03e_ap3.jpg","unn2/abstract03e_hp3.jpg",1,"right","unn","N","right",1,514
"unn2/abstract03b_ap3.jpg","unn2/abstract03c_hp3.jpg",1,"left","unn","RT","left",1,514
"Nam2/inanimate05e_ap3.jpg","Nam2/inanimate05e_hp3.jpg",2,"right","nam","N","right",1,514
"Nam2/inanimate05a_ap3.jpg","Nam2/inanimate05a_hp3.jpg",2,"right","nam","RS","right",1,514
"Nam2/inanimate05c_ap3.jpg","Nam2/inanimate05b_hp3.jpg",2,"left","nam","RT","left",1,514
"Nam2/inanimate05b_ap3.jpg","Nam2/inanimate05c_hp3.jpg",2,"left","nam","RT","left",1,514
"unn2/abstract09_ap3.jpg","unn2/abstract09a_hp3.jpg",2,"left","unn","RS","right",0,514
"unn2/abstract09c_ap3.jpg","unn2/abstract09c_hp3.jpg",2,"right","unn","RT","right",1,514
"unn2/abstract09e_ap3.jpg","unn2/abstract09d_hp3.jpg",2,"left","unn","N","right",0,514
"unn2/abstract09b_ap3.jpg","unn2/abstract09b_hp3.jpg",2,"right","unn","RT","right",1,514
"unn2/abstract09a_ap3.jpg","unn2/abstract09_hp3.jpg",2,"left","unn","RS","right",0,514
"unn2/abstract09d_ap3.jpg","unn2/abstract09e_hp3.jpg",2,"left","unn","N","left",1,514
"Nam2/inanimate05d_ap3.jpg","Nam2/inanimate05d_hp3.jpg",2,"right","nam","N","right",1,514
"Nam2/inanimate05_ap3.jpg","Nam2/inanimate05_hp3.jpg",2,"right","nam","RS","right",1,514
"Nam2/inanimate05e_ap3.jpg","Nam2/inanimate05d_hp3.jpg",2,"left","nam","N","right",0,514
"Nam2/inanimate08e_ap3.jpg","Nam2/inanimate08e_hp3.jpg",3,"right","nam","N","right",1,514
"Nam2/inanimate08a_ap3.jpg","Nam2/inanimate08a_hp3.jpg",3,"right","nam","RS","right",1,514
"Nam2/inanimate08c_ap3.jpg","Nam2/inanimate08b_hp3.jpg",3,"left","nam","RT","left",1,514
"Nam2/inanimate08b_ap3.jpg","Nam2/inanimate08c_hp3.jpg",3,"left","nam","RT","left",1,514
"unn2/abstract07_ap3.jpg","unn2/abstract07a_hp3.jpg",3,"left","unn","RS","right",0,514
"unn2/abstract07c_ap3.jpg","unn2/abstract07c_hp3.jpg",3,"right","unn","RT","right",1,514
"unn2/abstract07e_ap3.jpg","unn2/abstract07d_hp3.jpg",3,"left","unn","N","left",1,514
"unn2/abstract07b_ap3.jpg","unn2/abstract07b_hp3.jpg",3,"right","unn","RT","right",1,514
"unn2/abstract07a_ap3.jpg","unn2/abstract07_hp3.jpg",3,"left","unn","RS","left",1,514
"unn2/abstract07d_ap3.jpg","unn2/abstract07e_hp3.jpg",3,"left","unn","N","left",1,514
"Nam2/inanimate06e_ap3.jpg","Nam2/inanimate06e_hp3.jpg",4,"right","nam","N","right",1,514
"Nam2/inanimate06a_ap3.jpg","Nam2/inanimate06a_hp3.jpg",4,"right","nam","RS","right",1,514
"Nam2/inanimate06c_ap3.jpg","Nam2/inanimate06b_hp3.jpg",4,"left","nam","RT","left",1,514
"Nam2/inanimate06b_ap3.jpg","Nam2/inanimate06c_hp3.jpg",4,"left","nam","RT","left",1,514
"unn2/abstract06_ap3.jpg","unn2/abstract06a_hp3.jpg",4,"left","unn","RS","left",1,514
"unn2/abstract06c_ap3.jpg","unn2/abstract06c_hp3.jpg",4,"right","unn","RT","right",1,514
"unn2/abstract06e_ap3.jpg","unn2/abstract06d_hp3.jpg",4,"left","unn","N","right",0,514
"Nam2/inanimate09e_ap3.jpg","Nam2/inanimate09e_hp3.jpg",5,"right","nam","N","right",1,514
"Nam2/inanimate09a_ap3.jpg","Nam2/inanimate09a_hp3.jpg",5,"right","nam","RS","right",1,514
"Nam2/inanimate09c_ap3.jpg","Nam2/inanimate09b_hp3.jpg",5,"left","nam","RT","right",0,514
"Nam2/inanimate09b_ap3.jpg","Nam2/inanimate09c_hp3.jpg",5,"left","nam","RT","left",1,514
"unn2/abstract01e_ap3.jpg","unn2/abstract01d_hp3.jpg",6,"left","unn","N","right",0,514
