"participant","version","source_cluster","block","trial_in_block","current_ap","current_hp","intact","nam_unn","rs_rt_n","key_resp_14.keys","key_resp_14.corr"
865,"A",2,2,23,"Nam2/inanimate02c_ap.jpg","Nam2/inanimate02b_hp.jpg","left","nam","RS","left",1
865,"A",2,2,24,"Nam2/inanimate05c_ap.jpg","Nam2/inanimate05c_hp.jpg","right","nam","RT","right",1
865,"A",3,3,1,"unn2/abstract03_ap.jpg","unn2/abstract03a_hp.jpg","left","unn","RS","left",1
865,"A",3,3,2,"unn2/abstract04d_ap.jpg","unn2/abstract04d_hp.jpg","right","unn","RT","right",1
865,"A",3,3,3,"unn2/abstract07d_ap.jpg","unn2/abstract07e_hp.jpg","left","unn","N","right",0
865,"A",3,3,4,"Nam2/inanimate03b_ap.jpg","Nam2/inanimate03b_hp.jpg","right","nam","RS","right",1
865,"A",3,3,5,"unn2/abstract03a_ap.jpg","unn2/abstract03_hp.jpg","left","unn","RS","left",1
865,"A",3,3,6,"Nam2/inanimate09e_ap.jpg","Nam2/inanimate09e_hp.jpg","right","nam","N","right",1
865,"A",3,3,7,"unn2/abstract04e_ap.jpg","unn2/abstract04e_hp.jpg","right","unn","RT","right",1
865,"A",3,3,8,"Nam2/inanimate05d_ap.jpg","Nam2/inanimate05e_hp.jpg","left","nam","RT","left",1
865,"A",3,3,9,"unn2/abstract07e_ap.jpg","unn2/abstract07d_hp.jpg","left","unn","N","left",1
865,"A",3,3,10,"Nam2/inanimate09d_ap.jpg","Nam2/inanimate09d_hp.jpg","right","nam","N","right",1
865,"A",3,3,11,"Nam2/inanimate03c_ap.jpg","Nam2/inanimate03c_hp.jpg","right","nam","RS","right",1
865,"A",3,3,12,"Nam2/inanimate05e_ap.jpg","Nam2/inanimate05d_hp.jpg","left","nam","RT","left",1
865,"A",3,3,13,"unn2/abstract03_ap.jpg","unn2/abstract03_hp.jpg","right","unn","RS","right",1
865,"A",3,3,14,"unn2/abstract04d_ap.jpg","unn2/abstract04e_hp.jpg","left","unn","RT","left",1
865,"A",3,3,15,"unn2/abstract07d_ap.jpg","unn2/abstract07d_hp.jpg","right","unn","N","right",1
865,"A",3,3,16,"Nam2/inanimate03b_ap.jpg","Nam2/inanimate03c_hp.jpg","left","nam","RS","left",1
865,"A",3,3,17,"unn2/abstract03a_ap.jpg","unn2/abstract03a_hp.jpg","right","unn","RS","right",1
865,"A",3,3,18,"Nam2/inanimate09e_ap.jpg","Nam2/inanimate09d_hp.jpg","left","nam","N","left",1
865,"A",3,3,19,"unn2/abstract04e_ap.jpg","unn2/abstract04d_hp.jpg","left","unn","RT","left",1
865,"A",3,3,20,"Nam2/inanimate05d_ap.jpg","Nam2/inanimate05d_hp.jpg","right","nam","RT","right",1
865,"A",3,3,21,"unn2/abstract07e_ap.jpg","unn2/abstract07e_hp.jpg","right","unn","N","right",1
865,"A",3,3,22,"Nam2/inanimate09d_ap.jpg","Nam2/inanimate09e_hp.jpg","left","nam","N","left",1
865,"A",3,3,23,"Nam2/inanimate03c_ap.jpg","Nam2/inanimate03b_hp.jpg","left","nam","RS","right",0
